strategy_summary=
                               strategy_combo rs_bucket          entry          exit initial_stop_loss  trade_count  win_rate  profit_factor  avg_win_pct  avg_loss_pct  avg_win_loss_pct_ratio  final_equity  total_return  max_drawdown  avg_exposure_pct  max_exposure_pct  avg_holding_days
    rs90_100_rsi2_next_open_1_day_low_no_stop    90_100 rsi2_next_open     1_day_low           no_stop         2102  0.355852         0.8635     0.062381     -0.037796                  1.6505     564092.43     -0.435908     -0.559807          0.451035          3.741366              2.25
    rs90_100_rsi2_next_open_2_day_low_no_stop    90_100 rsi2_next_open     2_day_low           no_stop         2066  0.316554         0.8650     0.080961     -0.041092                  1.9702     513397.68     -0.486602     -0.559783          0.634870          3.741696              3.25
    rs90_100_rsi2_next_open_3_day_low_no_stop    90_100 rsi2_next_open     3_day_low           no_stop         2060  0.293689         0.8588     0.093275     -0.042333                  2.2034     492072.09     -0.507928     -0.631398          0.770066          3.741952              3.97
    rs90_100_rsi2_next_open_4_day_low_no_stop    90_100 rsi2_next_open     4_day_low           no_stop         2060  0.267961         0.8624     0.108702     -0.042645                  2.5490     497251.10     -0.502749     -0.643107          0.891448          3.834316              4.64
    rs90_100_rsi2_next_open_5_day_low_no_stop    90_100 rsi2_next_open     5_day_low           no_stop         2058  0.253644         0.9002     0.123626     -0.042820                  2.8871     581179.30     -0.418821     -0.632590          1.024414          3.834430              5.38
 rs90_100_rsi2_next_open_hold_1d_open_no_stop    90_100 rsi2_next_open  hold_1d_open           no_stop         2499  0.494998         1.0221     0.034523     -0.032847                  1.0510    1071777.79      0.071778     -0.401365          0.249866          3.639416              1.03
 rs90_100_rsi2_next_open_hold_2d_open_no_stop    90_100 rsi2_next_open  hold_2d_open           no_stop         1880  0.514362         1.1250     0.047909     -0.045317                  1.0572    1484593.58      0.484594     -0.355654          0.366910          3.879085              2.01
 rs90_100_rsi2_next_open_hold_3d_open_no_stop    90_100 rsi2_next_open  hold_3d_open           no_stop         1694  0.528926         1.0999     0.055548     -0.055890                  0.9939    1385289.53      0.385290     -0.491332          0.493315          4.074461              2.99
 rs90_100_rsi2_next_open_hold_4d_open_no_stop    90_100 rsi2_next_open  hold_4d_open           no_stop         1627  0.522434         1.2265     0.069419     -0.062894                  1.1037    2080144.32      1.080144     -0.510471          0.628825          5.546905              4.00
 rs90_100_rsi2_next_open_hold_5d_open_no_stop    90_100 rsi2_next_open  hold_5d_open           no_stop         1592  0.525126         1.2399     0.074159     -0.067817                  1.0935    2154533.79      1.154534     -0.548286          0.763144          7.108287              4.97
rs90_100_rsi2_next_open_hold_0d_close_no_stop    90_100 rsi2_next_open hold_0d_close           no_stop         2499  0.476190         0.8480     0.027567     -0.028520                  0.9666     622870.14     -0.377130     -0.481264          0.000000          0.000000              0.00
rs90_100_rsi2_next_open_hold_1d_close_no_stop    90_100 rsi2_next_open hold_1d_close           no_stop         2499  0.494198         0.9759     0.043670     -0.042535                  1.0267     912709.15     -0.087291     -0.455398          0.249853          3.639591              1.03
rs90_100_rsi2_next_open_hold_2d_close_no_stop    90_100 rsi2_next_open hold_2d_close           no_stop         1880  0.511170         1.0761     0.055207     -0.052621                  1.0491    1317848.60      0.317849     -0.427828          0.367126          3.853899              2.01
rs90_100_rsi2_next_open_hold_3d_close_no_stop    90_100 rsi2_next_open hold_3d_close           no_stop         1694  0.517119         1.1779     0.066335     -0.060324                  1.0996    1820316.61      0.820317     -0.524515          0.493110          4.088150              2.99
rs90_100_rsi2_next_open_hold_4d_close_no_stop    90_100 rsi2_next_open hold_4d_close           no_stop         1627  0.516288         1.2337     0.073066     -0.064518                  1.1325    2163842.04      1.163842     -0.500629          0.628998          5.617623              4.00
rs90_100_rsi2_next_open_hold_5d_close_no_stop    90_100 rsi2_next_open hold_5d_close           no_stop         1592  0.514447         1.1590     0.079773     -0.072676                  1.0977    1792533.39      0.792533     -0.552310          0.763442          7.133761              4.97
   rs90_100_rsi2_next_open_rsi2_gt_50_no_stop    90_100 rsi2_next_open    rsi2_gt_50           no_stop         1815  0.644077         1.3762     0.049486     -0.068618                  0.7212    3012295.16      2.012295     -0.553894          0.547742          7.082840              3.02
   rs90_100_rsi2_next_open_rsi2_gt_60_no_stop    90_100 rsi2_next_open    rsi2_gt_60           no_stop         1726  0.659907         1.2900     0.052336     -0.079864                  0.6553    2613225.82      1.613226     -0.597667          0.657531          7.720796              3.78
   rs90_100_rsi2_next_open_rsi2_gt_70_no_stop    90_100 rsi2_next_open    rsi2_gt_70           no_stop         1648  0.662621         1.2966     0.057816     -0.087987                  0.6571    2890762.60      1.890763     -0.609993          0.826158          8.651306              4.96
   rs90_100_rsi2_next_open_rsi2_gt_80_no_stop    90_100 rsi2_next_open    rsi2_gt_80           no_stop         1579  0.649145         1.2624     0.068970     -0.098615                  0.6994    2911667.52      1.911668     -0.657473          1.221734         10.793953              7.56
Wrote outputs/backtest/REPORT.md
