date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,999869.1647491455,1000000.0,1,9987.30020904541,0.009988607070957226
2025-08-04,1000114.1366066232,999556.8,17,169445.13232743597,0.1694257946421611
2025-08-05,998895.9601803045,998350.04,21,208920.9110555812,0.2091518229965313
2025-08-06,996009.5665439791,993322.4800000001,15,148927.8479948622,0.14952451562450556
2025-08-07,991813.1651449713,989016.3500000001,18,178157.54991249717,0.17962813579557219
2025-08-08,993374.2665419858,988215.67,23,227526.94415868825,0.22904453217892135
2025-08-11,992888.0560110504,985915.9900000001,23,227996.64457025242,0.22962975855126505
2025-08-12,1002036.9020859933,986538.79,29,288095.970067327,0.28751033965673556
2025-08-13,998191.9622932879,983507.5900000003,32,318074.5601763189,0.318650692643889
2025-08-14,992241.5918383584,983828.0900000002,20,198706.16275819935,0.20025986049430758
2025-08-15,990134.3338429963,984265.1900000003,23,228029.99790590926,0.23030208135582897
2025-08-18,989181.3353436482,984245.4800000003,19,188002.93943422232,0.19005912537655076
2025-08-19,982839.6362350052,979717.9400000003,12,118125.12217777579,0.12018758485390497
2025-08-20,981728.0300839235,979683.5300000001,5,48679.29957199097,0.04958532106680258
2025-08-21,982191.5964750396,980993.4500000002,13,126845.41528490928,0.1291452866631534
2025-08-22,983893.7787116788,980967.4900000002,18,176025.26943622864,0.17890678165148888
2025-08-25,983146.7539922339,979588.7300000001,23,225054.00422222083,0.22891191300622307
2025-08-26,987312.4548549922,979949.4,29,284159.99168002285,0.2878116145326636
2025-08-27,985311.9999340422,979982.4499999998,27,264042.1800130479,0.26797824448572954
2025-08-28,986997.3114237722,979607.1999999997,34,332978.13034315716,0.3373647795076833
2025-08-29,983408.0011217927,977208.1899999996,18,176457.46387973274,0.17943464327974173
2025-09-02,983390.3875316842,976890.0399999996,9,87964.8037153399,0.08945054256238165
2025-09-03,983596.37326722,977375.7899999997,12,117735.99429427744,0.1196995002159197
2025-09-04,982912.5049226382,979618.1599999997,18,176118.96754541338,0.1791807171679794
2025-09-05,986239.108469042,981071.1399999997,24,235288.89542732766,0.23857185687208365
2025-09-08,987586.5875994462,979858.3299999997,21,206093.7220117119,0.2086842051112395
2025-09-09,986238.4784978075,979382.4699999999,20,196134.3000263241,0.19887106851181344
2025-09-10,989069.2876703996,978137.1799999998,24,235437.40068569453,0.23803934023695253
2025-09-11,992096.9776794979,979711.7599999998,25,245931.31231355914,0.24789039564336676
2025-09-12,992836.9506022999,979307.5099999998,22,216657.55250692615,0.2182206780030617
2025-09-15,995876.5348361309,983484.4799999997,24,237202.410689496,0.238184556410426
2025-09-16,995953.63152822,985244.9599999997,26,257131.98503315434,0.2581766629422332
2025-09-17,996057.4244136169,986017.2599999995,23,228157.84409506497,0.22906093414180656
2025-09-18,1002899.9922340235,984735.4199999996,35,347947.34404100047,0.346941217205442
2025-09-19,1011286.3987712129,984715.8099999995,32,319719.44002355204,0.3161512311567075
2025-09-22,1017144.1405131456,985978.5199999996,33,331352.3917258333,0.32576738982015585
2025-09-23,1015842.2241772339,983632.3299999996,35,351736.0573417781,0.34625067650309715
2025-09-24,1011783.0279934261,994476.7199999996,19,191432.88740585794,0.18920349730070957
2025-09-25,1005371.9599142832,1003723.5799999995,4,40494.960401535034,0.040278585455066386
2025-09-26,1004590.89949506,1003517.1999999995,13,129959.93723656415,0.12936603079112724
2025-09-29,1004928.2573215243,1001699.3999999996,21,209763.32203505025,0.2087346240955955
2025-09-30,1002002.0966629616,998509.2999999996,15,149326.20857461722,0.14902784043259873
2025-10-01,1002150.6330494705,997167.0699999995,24,240261.0981210116,0.2397454935391447
2025-10-02,1006377.7649604344,995435.0499999993,31,310469.86702933017,0.3085023117949513
2025-10-03,1007453.8195373836,991661.3299999991,33,331118.7501104808,0.3286689113576724
2025-10-06,1021661.3026325098,994349.8299999991,37,372517.99260772933,0.3646198516552051
2025-10-07,1015927.0265086829,996368.9799999988,16,161188.66867743497,0.15866166020936873
2025-10-08,1021698.7895683128,997943.4399999988,29,293663.53846316866,0.2874267264104787
2025-10-09,1026266.3665072459,995338.8999999987,26,264051.90663976356,0.2572937350937723
2025-10-10,1019997.0896080218,997946.6499999989,13,132148.19025380875,0.12955741893792308
2025-10-13,1044957.4778416548,1003805.4699999988,29,298969.99722998403,0.2861073331400072
2025-10-14,1053648.715202389,1002905.5599999989,12,123654.68739366392,0.1173585518679362
2025-10-15,1039627.5759264057,1029990.379999999,34,352857.90962912765,0.33940799359299234
2025-10-16,1029454.6658075096,1026216.0499999988,14,144936.97233488422,0.14079004850708499
2025-10-17,1022413.7811080826,1022553.9399999989,4,40816.99988222122,0.039922192596019326
2025-10-20,1023353.4028916502,1022553.9399999989,10,101748.71153013594,0.09942675838339769
2025-10-21,1021150.8595778454,1020537.9499999989,5,51055.13005375862,0.04999763705322184
2025-10-22,1017499.8199999988,1017499.8199999988,0,0.0,0.0
2025-10-23,1016490.7567369553,1017499.8199999988,6,60816.365806683636,0.0598297283114612
2025-10-24,1015207.3992883712,1015512.7399999988,31,313129.15997127123,0.3084386108599731
2025-10-27,1018828.1836536044,1013670.369999999,38,384386.33601031976,0.37728278641829255
2025-10-28,1013302.147633687,1009603.1599999991,20,202131.0345621281,0.19947755468016568
2025-10-29,1011928.5591367938,1008070.5599999991,15,151382.46617568625,0.14959797785015588
2025-10-30,1009966.1421966752,1007482.7199999992,12,120644.12712306806,0.1194536352086687
2025-10-31,1011197.4786610993,1005785.2399999992,20,201661.5173122389,0.19942842181455372
2025-11-03,1003513.0703957555,998875.9899999992,13,129985.41053193994,0.12953036125446538
2025-11-04,999009.3304901115,997343.7499999992,3,29868.719318389893,0.029898338690927315
2025-11-05,999175.2050669792,996663.3899999992,8,79239.56965286873,0.07930497999853484
2025-11-06,995531.2467488387,994452.3499999993,15,148226.35515278718,0.14889171549045613
2025-11-07,990369.1797336595,990415.2599999994,6,59219.71871696251,0.05979559938738047
2025-11-10,990890.0387434857,990415.2599999994,43,424465.6482360555,0.4283680647090833
2025-11-11,984699.2759703,983244.9599999995,28,275882.3471456778,0.2801691378048691
2025-11-12,985525.6784935672,980411.8899999995,31,305150.9703021706,0.3096326934561578
