strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout_1_1,ABVX,2025-08-01,72.9,69.665,3.235,2025-08-04,69.665,stop_loss,137,9987.3,-443.2,-0.044376,-1.0,-1.0912,0.0155,1,99.0,"buy_stop=pivot_high_1_1:72.9000; entry=max(open,pivot); prev_close=71.7700; require_prev_close_lte_pivot=True; avg_value_10=336.6955M; adr20=7.0465; dr=5.1607; adr5=5.5605; distance_to_ma5=1.2377; adr10_price=5.0750"
breakout_1_1,STX,2025-08-04,156.272,149.7908,6.4812,2025-08-05,149.7908,stop_loss,64,10001.41,-414.79,-0.041474,-1.0,-1.5681,0.026,1,91.0,"buy_stop=pivot_high_1_1:156.2720; entry=max(open,pivot); prev_close=153.6517; require_prev_close_lte_pivot=True; avg_value_10=705.3619M; adr20=3.3282; dr=3.4252; adr5=5.0923; distance_to_ma5=1.5854; adr10_price=6.0283"
breakout_1_1,ATAI,2025-08-04,4.29,3.82,0.47,2025-08-06,3.82,stop_loss,2329,9991.41,-1094.63,-0.109557,-1.0,-1.0851,0.234,2,98.0,"buy_stop=pivot_high_1_1:4.2900; entry=max(open,pivot); prev_close=4.1700; require_prev_close_lte_pivot=True; avg_value_10=32.2815M; adr20=9.3866; dr=9.7257; adr5=11.9471; distance_to_ma5=0.3613; adr10_price=0.4619"
breakout_1_1,KRMN,2025-08-04,51.76,49.29,2.47,2025-08-06,49.29,stop_loss,193,9989.68,-476.71,-0.04772,-1.0,-1.3198,0.0283,2,93.0,"buy_stop=pivot_high_1_1:51.7600; entry=max(open,pivot); prev_close=50.2200; require_prev_close_lte_pivot=True; avg_value_10=165.7975M; adr20=4.7288; dr=2.3985; adr5=3.7675; distance_to_ma5=0.2593; adr10_price=2.1584"
breakout_1_1,VST,2025-08-04,212.2331,196.4457,15.7874,2025-08-06,205.7599,2_day_low_break,47,9974.95,-304.24,-0.0305,-0.41,-0.8733,0.2399,2,92.0,"buy_stop=pivot_high_1_1:212.2331; entry=max(open,pivot); prev_close=207.2542; require_prev_close_lte_pivot=True; avg_value_10=1051.5207M; adr20=4.2676; dr=3.2844; adr5=4.2896; distance_to_ma5=5.3325; adr10_price=8.6029"
breakout_1_1,BBIO,2025-08-04,48.065,46.305,1.76,2025-08-06,44.5,stop_loss,208,9997.52,-741.52,-0.07417,-2.0256,-3.3949,0.9688,2,90.0,"buy_stop=pivot_high_1_1:48.0650; entry=max(open,pivot); prev_close=47.3700; require_prev_close_lte_pivot=True; avg_value_10=93.2125M; adr20=3.0268; dr=2.0970; adr5=3.4006; distance_to_ma5=0.8540; adr10_price=1.4639"
breakout_1_1,CALX,2025-08-04,57.32,54.38,2.94,2025-08-06,56.18,2_day_low_break,174,9973.68,-198.36,-0.019888,-0.3878,-0.415,0.2245,2,90.0,"buy_stop=pivot_high_1_1:57.3200; entry=max(open,pivot); prev_close=56.0600; require_prev_close_lte_pivot=True; avg_value_10=55.2527M; adr20=2.8997; dr=2.8044; adr5=2.8777; distance_to_ma5=0.5853; adr10_price=1.7845"
breakout_1_1,DAVE,2025-08-05,246.16,227.65,18.51,2025-08-06,227.65,stop_loss,40,9846.4,-740.4,-0.075195,-1.0,-3.6283,0.2021,1,97.0,"buy_stop=pivot_high_1_1:246.1600; entry=max(open,pivot); prev_close=245.5100; require_prev_close_lte_pivot=True; avg_value_10=113.7217M; adr20=8.8880; dr=7.6088; adr5=8.5745; distance_to_ma5=1.7060; adr10_price=16.4258"
breakout_1_1,EYE,2025-08-05,25.32,24.3,1.02,2025-08-06,24.3,stop_loss,394,9976.08,-401.88,-0.040284,-1.0,-2.0784,0.0,1,94.0,"buy_stop=pivot_high_1_1:25.3200; entry=max(open,pivot); prev_close=25.0700; require_prev_close_lte_pivot=True; avg_value_10=49.1138M; adr20=3.0555; dr=3.1575; adr5=3.2644; distance_to_ma5=0.3337; adr10_price=0.7776"
breakout_1_1,U,2025-08-05,34.87,32.13,2.74,2025-08-06,32.13,stop_loss,286,9972.82,-783.64,-0.078578,-1.0,-1.8686,1.4708,1,92.0,"buy_stop=pivot_high_1_1:34.8700; entry=max(open,pivot); prev_close=34.0100; require_prev_close_lte_pivot=True; avg_value_10=379.6018M; adr20=5.3755; dr=4.5697; adr5=5.2270; distance_to_ma5=1.0713; adr10_price=1.6170"
breakout_1_1,QBTS,2025-08-06,18.588,17.49,1.098,2025-08-06,17.49,same_day_stop_loss_red_candle,535,9944.58,-587.43,-0.05907,-1.0,-1.0729,0.02,0,98.0,"buy_stop=pivot_high_1_1:18.5880; entry=max(open,pivot); prev_close=18.3000; require_prev_close_lte_pivot=True; avg_value_10=686.7094M; adr20=8.2181; dr=6.8926; adr5=7.3896; distance_to_ma5=0.5407; adr10_price=1.3393"
breakout_1_1,TSSI,2025-08-04,29.26,25.77,3.49,2025-08-07,23.0,stop_loss,341,9977.66,-2134.66,-0.213944,-1.7937,-2.4957,0.7049,3,98.0,"buy_stop=pivot_high_1_1:29.2600; entry=max(open,pivot); prev_close=27.0900; require_prev_close_lte_pivot=True; avg_value_10=73.7311M; adr20=10.7298; dr=7.9521; adr5=11.6847; distance_to_ma5=2.3733; adr10_price=3.2626"
breakout_1_1,OUST,2025-08-04,24.069,21.31,2.759,2025-08-07,22.538,2_day_low_break,415,9988.64,-635.37,-0.063609,-0.5549,-0.5723,0.3701,3,97.0,"buy_stop=pivot_high_1_1:24.0690; entry=max(open,pivot); prev_close=21.9800; require_prev_close_lte_pivot=True; avg_value_10=61.1167M; adr20=8.5201; dr=6.9747; adr5=8.1580; distance_to_ma5=0.5023; adr10_price=2.0309"
breakout_1_1,WLDN,2025-08-04,85.65,76.43,9.22,2025-08-07,86.0,2_day_low_break,116,9935.4,40.6,0.004086,0.038,-0.1464,0.7711,3,97.0,"buy_stop=pivot_high_1_1:85.6500; entry=max(open,pivot); prev_close=84.0100; require_prev_close_lte_pivot=True; avg_value_10=29.1046M; adr20=4.4930; dr=6.1447; adr5=6.4795; distance_to_ma5=2.7833; adr10_price=4.3878"
breakout_1_1,PL,2025-08-04,6.51,5.87,0.64,2025-08-07,6.27,2_day_low_break,1535,9992.85,-368.4,-0.036866,-0.375,-0.5547,0.3516,3,94.0,"buy_stop=pivot_high_1_1:6.5100; entry=max(open,pivot); prev_close=6.1800; require_prev_close_lte_pivot=True; avg_value_10=37.0550M; adr20=5.8840; dr=5.2885; adr5=5.9400; distance_to_ma5=0.1620; adr10_price=0.3943"
breakout_1_1,NET,2025-08-04,204.57,192.8,11.77,2025-08-07,204.7,2_day_low_break,48,9819.36,6.24,0.000635,0.011,-0.158,1.226,3,93.0,"buy_stop=pivot_high_1_1:200.7650; entry=max(open,pivot); prev_close=200.1100; require_prev_close_lte_pivot=True; avg_value_10=761.5332M; adr20=3.6802; dr=4.4596; adr5=4.4776; distance_to_ma5=4.3793; adr10_price=8.1258"
breakout_1_1,URBN,2025-08-04,78.12,72.24,5.88,2025-08-07,77.19,2_day_low_break,128,9999.36,-119.04,-0.011905,-0.1582,-0.5952,0.4405,3,90.0,"buy_stop=pivot_high_1_1:78.1200; entry=max(open,pivot); prev_close=76.2100; require_prev_close_lte_pivot=True; avg_value_10=130.9415M; adr20=3.4240; dr=3.3825; adr5=3.4687; distance_to_ma5=1.6140; adr10_price=2.8938"
breakout_1_1,AMSC,2025-08-05,57.86,53.71,4.15,2025-08-07,53.71,stop_loss,172,9951.92,-713.8,-0.071725,-1.0,-1.388,0.1349,2,98.0,"buy_stop=pivot_high_1_1:57.8600; entry=max(open,pivot); prev_close=55.5200; require_prev_close_lte_pivot=True; avg_value_10=82.4705M; adr20=5.6952; dr=6.9572; adr5=9.3271; distance_to_ma5=3.0840; adr10_price=3.6251"
breakout_1_1,BE,2025-08-05,39.09,35.0,4.09,2025-08-07,36.38,2_day_low_break,255,9967.95,-691.05,-0.069327,-0.6626,-0.7922,0.1868,2,97.0,"buy_stop=pivot_high_1_1:39.0900; entry=max(open,pivot); prev_close=36.1000; require_prev_close_lte_pivot=True; avg_value_10=552.7278M; adr20=6.9888; dr=7.6141; adr5=9.8001; distance_to_ma5=0.6253; adr10_price=3.0274"
breakout_1_1,GNRC,2025-08-05,197.18,192.45,4.73,2025-08-07,192.45,stop_loss,50,9859.0,-236.5,-0.023988,-1.0,-1.0486,0.5729,2,93.0,"buy_stop=pivot_high_1_1:197.1800; entry=max(open,pivot); prev_close=196.4300; require_prev_close_lte_pivot=True; avg_value_10=313.4679M; adr20=3.6608; dr=2.6129; adr5=7.4517; distance_to_ma5=4.7173; adr10_price=9.8414"
breakout_1_1,VSEC,2025-08-05,157.8642,147.2607,10.6035,2025-08-07,155.2183,2_day_low_break,63,9945.45,-166.69,-0.016761,-0.2495,-0.5311,0.3286,2,91.0,"buy_stop=pivot_high_1_1:157.8642; entry=max(open,pivot); prev_close=156.6062; require_prev_close_lte_pivot=True; avg_value_10=40.7399M; adr20=3.7464; dr=3.5831; adr5=6.5448; distance_to_ma5=6.7608; adr10_price=7.1182"
breakout_1_1,IONQ,2025-08-05,42.275,38.42,3.855,2025-08-07,38.98,2_day_low_break,236,9976.9,-777.62,-0.077942,-0.8547,-0.9507,0.3437,2,91.0,"buy_stop=pivot_high_1_1:42.2750; entry=max(open,pivot); prev_close=39.8600; require_prev_close_lte_pivot=True; avg_value_10=747.2870M; adr20=6.1217; dr=5.7563; adr5=6.0603; distance_to_ma5=1.5800; adr10_price=2.5315"
breakout_1_1,NNE,2025-08-06,38.19,36.1,2.09,2025-08-07,36.1,stop_loss,260,9929.4,-543.4,-0.054726,-1.0,-1.1435,0.5311,1,93.0,"buy_stop=pivot_high_1_1:38.1900; entry=max(open,pivot); prev_close=37.9500; require_prev_close_lte_pivot=True; avg_value_10=184.5774M; adr20=7.9191; dr=5.3619; adr5=6.2210; distance_to_ma5=2.0487; adr10_price=3.5070"
breakout_1_1,EOSE,2025-08-06,6.55,6.06,0.49,2025-08-08,6.3,2_day_low_break,1519,9949.45,-379.75,-0.038168,-0.5102,-0.7245,0.7347,2,94.0,"buy_stop=pivot_high_1_1:6.5500; entry=max(open,pivot); prev_close=6.5100; require_prev_close_lte_pivot=True; avg_value_10=89.4678M; adr20=9.2075; dr=7.2857; adr5=11.1577; distance_to_ma5=0.4283; adr10_price=0.6063"
breakout_1_1,LQDA,2025-08-06,20.33,19.14,1.19,2025-08-08,19.14,stop_loss,489,9941.37,-581.91,-0.058534,-1.0,-1.1008,0.2605,2,94.0,"buy_stop=pivot_high_1_1:20.3300; entry=max(open,pivot); prev_close=20.0700; require_prev_close_lte_pivot=True; avg_value_10=53.8311M; adr20=6.4895; dr=5.0025; adr5=8.0415; distance_to_ma5=0.9107; adr10_price=1.4309"
breakout_1_1,KC,2025-08-06,14.23,13.773,0.457,2025-08-08,13.62,stop_loss,699,9946.77,-426.39,-0.042867,-1.3348,-1.86,0.5689,2,90.0,"buy_stop=pivot_high_1_1:14.2300; entry=max(open,pivot); prev_close=14.0700; require_prev_close_lte_pivot=True; avg_value_10=25.0753M; adr20=3.8938; dr=3.1499; adr5=3.6314; distance_to_ma5=0.0557; adr10_price=0.5499"
breakout_1_1,STRL,2025-08-04,269.5,244.02,25.48,2025-08-11,293.84,2_day_low_break,37,9971.5,900.58,0.090315,0.9553,-0.2838,2.0522,5,94.0,"buy_stop=pivot_high_1_1:269.5000; entry=max(open,pivot); prev_close=263.0500; require_prev_close_lte_pivot=True; avg_value_10=138.4911M; adr20=4.2099; dr=4.0188; adr5=4.7802; distance_to_ma5=2.9780; adr10_price=13.1242"
breakout_1_1,BELFB,2025-08-05,132.22,126.2068,6.0132,2025-08-11,131.7605,2_day_low_break,75,9916.5,-34.46,-0.003475,-0.0764,-0.8904,0.6196,4,95.0,"buy_stop=pivot_high_1_1:131.5308; entry=max(open,pivot); prev_close=131.3610; require_prev_close_lte_pivot=True; avg_value_10=28.0856M; adr20=4.6334; dr=3.8859; adr5=4.5947; distance_to_ma5=2.7129; adr10_price=7.3390"
breakout_1_1,FFAI,2025-08-07,2.5,2.16,0.34,2025-08-11,2.285,2_day_low_break,3961,9902.5,-851.61,-0.086,-0.6324,-0.6765,0.2353,2,93.0,"buy_stop=pivot_high_1_1:2.5000; entry=max(open,pivot); prev_close=2.2900; require_prev_close_lte_pivot=True; avg_value_10=43.6642M; adr20=17.4742; dr=11.1597; adr5=11.3773; distance_to_ma5=0.1157; adr10_price=0.3338"
breakout_1_1,CIEN,2025-08-07,95.51,91.65,3.86,2025-08-11,93.44,2_day_low_break,103,9837.53,-213.21,-0.021673,-0.5363,-0.6088,0.2383,2,90.0,"buy_stop=pivot_high_1_1:95.5100; entry=max(open,pivot); prev_close=94.3100; require_prev_close_lte_pivot=True; avg_value_10=142.2532M; adr20=2.9367; dr=2.5257; adr5=3.4111; distance_to_ma5=2.3507; adr10_price=2.8730"
breakout_1_1,SBSW,2025-08-08,8.8045,8.3089,0.4956,2025-08-11,8.3089,stop_loss,1125,9905.04,-557.57,-0.056291,-1.0,-1.2745,0.1569,1,95.0,"buy_stop=pivot_high_1_1:8.7170; entry=max(open,pivot); prev_close=8.5032; require_prev_close_lte_pivot=True; avg_value_10=79.7251M; adr20=3.6244; dr=3.6281; adr5=4.1016; distance_to_ma5=0.0810; adr10_price=0.3465"
breakout_1_1,CCJ,2025-08-08,77.4093,74.984,2.4253,2025-08-11,74.984,stop_loss,128,9908.39,-310.44,-0.031331,-1.0,-1.1605,0.4733,1,91.0,"buy_stop=pivot_high_1_1:77.4093; entry=max(open,pivot); prev_close=76.2216; require_prev_close_lte_pivot=True; avg_value_10=340.7866M; adr20=3.5576; dr=2.6206; adr5=3.1534; distance_to_ma5=1.5024; adr10_price=2.7916"
breakout_1_1,AMPX,2025-08-11,8.49,7.635,0.855,2025-08-11,7.635,same_day_stop_loss_red_candle,1170,9933.3,-1000.35,-0.100707,-1.0,-1.0058,0.0234,0,98.0,"buy_stop=pivot_high_1_1:8.4900; entry=max(open,pivot); prev_close=8.0600; require_prev_close_lte_pivot=True; avg_value_10=74.3865M; adr20=10.4065; dr=11.5334; adr5=12.8254; distance_to_ma5=0.0053; adr10_price=0.9009"
breakout_1_1,CRDO,2025-08-07,119.8,110.1,9.7,2025-08-12,117.5,2_day_low_break,82,9823.6,-188.6,-0.019199,-0.2371,-0.3711,0.5814,3,97.0,"buy_stop=pivot_high_1_1:118.9500; entry=max(open,pivot); prev_close=117.3400; require_prev_close_lte_pivot=True; avg_value_10=465.2695M; adr20=5.8272; dr=4.5577; adr5=6.5332; distance_to_ma5=5.2247; adr10_price=6.7280"
breakout_1_1,VNET,2025-08-07,8.19,7.72,0.47,2025-08-12,7.72,stop_loss,1208,9893.52,-567.76,-0.057387,-1.0,-1.9362,0.5106,3,90.0,"buy_stop=pivot_high_1_1:8.1300; entry=max(open,pivot); prev_close=8.0100; require_prev_close_lte_pivot=True; avg_value_10=35.8321M; adr20=6.6262; dr=3.5627; adr5=5.1312; distance_to_ma5=0.3800; adr10_price=0.4193"
breakout_1_1,APH,2025-08-04,107.9877,102.2183,5.7694,2025-08-13,108.6741,2_day_low_break,92,9934.87,63.15,0.006356,0.119,-0.3707,0.6534,7,90.0,"buy_stop=pivot_high_1_1:107.6296; entry=max(open,pivot); prev_close=103.7601; require_prev_close_lte_pivot=True; avg_value_10=1226.1827M; adr20=2.6578; dr=2.1990; adr5=2.3132; distance_to_ma5=1.8701; adr10_price=3.7628"
breakout_1_1,FN,2025-08-06,332.61,321.88,10.73,2025-08-13,330.15,2_day_low_break,29,9645.69,-71.34,-0.007396,-0.2293,-0.9562,2.2311,5,92.0,"buy_stop=pivot_high_1_1:332.6100; entry=max(open,pivot); prev_close=328.1000; require_prev_close_lte_pivot=True; avg_value_10=149.6781M; adr20=3.0997; dr=3.2977; adr5=3.5948; distance_to_ma5=3.4500; adr10_price=10.0312"
breakout_1_1,HOOD,2025-08-07,107.89,101.18,6.71,2025-08-13,113.18,2_day_low_break,91,9817.99,481.39,0.049031,0.7884,-0.0909,1.462,4,98.0,"buy_stop=pivot_high_1_1:107.3000; entry=max(open,pivot); prev_close=105.6500; require_prev_close_lte_pivot=True; avg_value_10=4498.0552M; adr20=5.1855; dr=4.8734; adr5=7.0878; distance_to_ma5=4.6993; adr10_price=6.5912"
breakout_1_1,CLS,2025-08-07,205.26,191.6,13.66,2025-08-13,203.57,2_day_low_break,48,9852.48,-81.12,-0.008233,-0.1237,-0.5461,0.9912,4,97.0,"buy_stop=pivot_high_1_1:205.2600; entry=max(open,pivot); prev_close=198.6300; require_prev_close_lte_pivot=True; avg_value_10=978.7506M; adr20=5.3553; dr=3.9383; adr5=4.9213; distance_to_ma5=3.0253; adr10_price=11.8251"
breakout_1_1,VISN,2025-08-08,7.6357,6.9511,0.6846,2025-08-13,7.3976,2_day_low_break,1297,9903.52,-308.85,-0.031186,-0.3478,-0.6436,0.144,3,99.0,"buy_stop=pivot_high_1_1:7.6357; entry=max(open,pivot); prev_close=7.3146; require_prev_close_lte_pivot=True; avg_value_10=104.4907M; adr20=6.5930; dr=6.0949; adr5=9.2060; distance_to_ma5=0.2560; adr10_price=0.5434"
breakout_1_1,ANET,2025-08-11,141.01,136.93,4.08,2025-08-13,136.93,stop_loss,70,9870.7,-285.6,-0.028934,-1.0,-1.2255,0.2402,2,93.0,"buy_stop=pivot_high_1_1:141.0100; entry=max(open,pivot); prev_close=139.1800; require_prev_close_lte_pivot=True; avg_value_10=1619.9017M; adr20=2.9704; dr=3.4529; adr5=3.7494; distance_to_ma5=4.2010; adr10_price=4.5580"
breakout_1_1,JBL,2025-08-11,225.4757,221.2911,4.1845,2025-08-13,221.2911,stop_loss,43,9695.45,-179.94,-0.018559,-1.0,-2.327,1.5871,2,90.0,"buy_stop=pivot_high_1_1:225.4757; entry=max(open,pivot); prev_close=224.0475; require_prev_close_lte_pivot=True; avg_value_10=274.3036M; adr20=2.7165; dr=2.4320; adr5=2.5024; distance_to_ma5=2.4888; adr10_price=5.8894"
