strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout_1_1,ABVX,2025-08-01,72.9,69.665,3.235,2025-08-04,69.665,stop_loss,137,9987.3,-443.2,-0.044376,-1.0,-1.0912,0.0155,1,99.0,"buy_stop=pivot_high_1_1:72.9000; entry=max(open,pivot); prev_close=71.7700; require_prev_close_lte_pivot=True; avg_value_10=336.6955M; adr20=7.0465; dr=5.1607; adr5=5.5605; distance_to_ma5=1.2377; adr10_price=5.0750"
breakout_1_1,STX,2025-08-04,156.272,149.7908,6.4812,2025-08-05,149.7908,stop_loss,64,10001.41,-414.79,-0.041474,-1.0,-1.5681,0.026,1,91.0,"buy_stop=pivot_high_1_1:156.2720; entry=max(open,pivot); prev_close=153.6517; require_prev_close_lte_pivot=True; avg_value_10=705.3619M; adr20=3.3282; dr=3.4252; adr5=5.0923; distance_to_ma5=1.5854; adr10_price=6.0283"
breakout_1_1,MP,2025-08-04,65.84,59.2,6.64,2025-08-06,67.51,hold_2d_exit,151,9941.84,252.17,0.025365,0.2515,-0.4428,0.7696,2,99.0,"buy_stop=pivot_high_1_1:65.8400; entry=max(open,pivot); prev_close=63.6900; require_prev_close_lte_pivot=True; avg_value_10=728.8600M; adr20=8.3938; dr=7.1574; adr5=7.2422; distance_to_ma5=2.8967; adr10_price=4.0173"
breakout_1_1,ATAI,2025-08-04,4.29,3.82,0.47,2025-08-06,3.82,stop_loss,2329,9991.41,-1094.63,-0.109557,-1.0,-1.0851,0.234,2,98.0,"buy_stop=pivot_high_1_1:4.2900; entry=max(open,pivot); prev_close=4.1700; require_prev_close_lte_pivot=True; avg_value_10=32.2815M; adr20=9.3866; dr=9.7257; adr5=11.9471; distance_to_ma5=0.3613; adr10_price=0.4619"
breakout_1_1,TSSI,2025-08-04,29.26,25.77,3.49,2025-08-06,28.75,hold_2d_exit,341,9977.66,-173.91,-0.01743,-0.1461,-0.4928,0.7049,2,98.0,"buy_stop=pivot_high_1_1:29.2600; entry=max(open,pivot); prev_close=27.0900; require_prev_close_lte_pivot=True; avg_value_10=73.7311M; adr20=10.7298; dr=7.9521; adr5=11.6847; distance_to_ma5=2.3733; adr10_price=3.2626"
breakout_1_1,OUST,2025-08-04,24.069,21.31,2.759,2025-08-06,22.97,hold_2d_exit,415,9988.64,-456.09,-0.04566,-0.3983,-0.5651,0.3701,2,97.0,"buy_stop=pivot_high_1_1:24.0690; entry=max(open,pivot); prev_close=21.9800; require_prev_close_lte_pivot=True; avg_value_10=61.1167M; adr20=8.5201; dr=6.9747; adr5=8.1580; distance_to_ma5=0.5023; adr10_price=2.0309"
breakout_1_1,WLDN,2025-08-04,85.65,76.43,9.22,2025-08-06,88.02,hold_2d_exit,116,9935.4,274.92,0.027671,0.257,-0.1464,0.7711,2,97.0,"buy_stop=pivot_high_1_1:85.6500; entry=max(open,pivot); prev_close=84.0100; require_prev_close_lte_pivot=True; avg_value_10=29.1046M; adr20=4.4930; dr=6.1447; adr5=6.4795; distance_to_ma5=2.7833; adr10_price=4.3878"
breakout_1_1,PLTR,2025-08-04,160.89,151.058,9.832,2025-08-06,179.54,hold_2d_exit,62,9975.18,1156.3,0.115918,1.8969,-0.3011,2.0027,2,95.0,"buy_stop=pivot_high_1_1:160.8900; entry=max(open,pivot); prev_close=154.2700; require_prev_close_lte_pivot=True; avg_value_10=8317.1291M; adr20=3.2531; dr=2.1972; adr5=2.9500; distance_to_ma5=2.3707; adr10_price=5.4207"
breakout_1_1,STRL,2025-08-04,269.5,244.02,25.48,2025-08-06,299.42,hold_2d_exit,37,9971.5,1107.04,0.11102,1.1743,-0.2838,2.0522,2,94.0,"buy_stop=pivot_high_1_1:269.5000; entry=max(open,pivot); prev_close=263.0500; require_prev_close_lte_pivot=True; avg_value_10=138.4911M; adr20=4.2099; dr=4.0188; adr5=4.7802; distance_to_ma5=2.9780; adr10_price=13.1242"
breakout_1_1,PL,2025-08-04,6.51,5.87,0.64,2025-08-06,6.32,hold_2d_exit,1535,9992.85,-291.65,-0.029186,-0.2969,-0.4219,0.3516,2,94.0,"buy_stop=pivot_high_1_1:6.5100; entry=max(open,pivot); prev_close=6.1800; require_prev_close_lte_pivot=True; avg_value_10=37.0550M; adr20=5.8840; dr=5.2885; adr5=5.9400; distance_to_ma5=0.1620; adr10_price=0.3943"
breakout_1_1,KRMN,2025-08-04,51.76,49.29,2.47,2025-08-06,49.29,stop_loss,193,9989.68,-476.71,-0.04772,-1.0,-1.3198,0.0283,2,93.0,"buy_stop=pivot_high_1_1:51.7600; entry=max(open,pivot); prev_close=50.2200; require_prev_close_lte_pivot=True; avg_value_10=165.7975M; adr20=4.7288; dr=2.3985; adr5=3.7675; distance_to_ma5=0.2593; adr10_price=2.1584"
breakout_1_1,NET,2025-08-04,204.57,192.8,11.77,2025-08-06,215.53,hold_2d_exit,48,9819.36,526.08,0.053576,0.9312,-0.158,0.9354,2,93.0,"buy_stop=pivot_high_1_1:200.7650; entry=max(open,pivot); prev_close=200.1100; require_prev_close_lte_pivot=True; avg_value_10=761.5332M; adr20=3.6802; dr=4.4596; adr5=4.4776; distance_to_ma5=4.3793; adr10_price=8.1258"
breakout_1_1,WGS,2025-08-04,107.31,97.89,9.42,2025-08-06,105.85,hold_2d_exit,93,9979.83,-135.78,-0.013605,-0.155,-0.6592,0.19,2,93.0,"buy_stop=pivot_high_1_1:107.3100; entry=max(open,pivot); prev_close=101.6000; require_prev_close_lte_pivot=True; avg_value_10=121.7190M; adr20=6.6645; dr=7.2008; adr5=10.6917; distance_to_ma5=4.5053; adr10_price=8.5890"
breakout_1_1,VST,2025-08-04,212.2331,196.4457,15.7874,2025-08-06,200.0817,hold_2d_exit,47,9974.95,-571.11,-0.057255,-0.7697,-0.8733,0.2399,2,92.0,"buy_stop=pivot_high_1_1:212.2331; entry=max(open,pivot); prev_close=207.2542; require_prev_close_lte_pivot=True; avg_value_10=1051.5207M; adr20=4.2676; dr=3.2844; adr5=4.2896; distance_to_ma5=5.3325; adr10_price=8.6029"
breakout_1_1,APH,2025-08-04,107.9877,102.2183,5.7694,2025-08-06,108.9228,hold_2d_exit,92,9934.87,86.03,0.008659,0.1621,-0.3707,0.231,2,90.0,"buy_stop=pivot_high_1_1:107.6296; entry=max(open,pivot); prev_close=103.7601; require_prev_close_lte_pivot=True; avg_value_10=1226.1827M; adr20=2.6578; dr=2.1990; adr5=2.3132; distance_to_ma5=1.8701; adr10_price=3.7628"
breakout_1_1,BBIO,2025-08-04,48.065,46.305,1.76,2025-08-06,44.5,stop_loss,208,9997.52,-741.52,-0.07417,-2.0256,-3.3949,0.9688,2,90.0,"buy_stop=pivot_high_1_1:48.0650; entry=max(open,pivot); prev_close=47.3700; require_prev_close_lte_pivot=True; avg_value_10=93.2125M; adr20=3.0268; dr=2.0970; adr5=3.4006; distance_to_ma5=0.8540; adr10_price=1.4639"
breakout_1_1,CALX,2025-08-04,57.32,54.38,2.94,2025-08-06,56.78,hold_2d_exit,174,9973.68,-93.96,-0.009421,-0.1837,-0.415,0.2245,2,90.0,"buy_stop=pivot_high_1_1:57.3200; entry=max(open,pivot); prev_close=56.0600; require_prev_close_lte_pivot=True; avg_value_10=55.2527M; adr20=2.8997; dr=2.8044; adr5=2.8777; distance_to_ma5=0.5853; adr10_price=1.7845"
breakout_1_1,URBN,2025-08-04,78.12,72.24,5.88,2025-08-06,79.79,hold_2d_exit,128,9999.36,213.76,0.021377,0.284,-0.2636,0.3503,2,90.0,"buy_stop=pivot_high_1_1:78.1200; entry=max(open,pivot); prev_close=76.2100; require_prev_close_lte_pivot=True; avg_value_10=130.9415M; adr20=3.4240; dr=3.3825; adr5=3.4687; distance_to_ma5=1.6140; adr10_price=2.8938"
breakout_1_1,DAVE,2025-08-05,246.16,227.65,18.51,2025-08-06,227.65,stop_loss,40,9846.4,-740.4,-0.075195,-1.0,-3.6283,0.2021,1,97.0,"buy_stop=pivot_high_1_1:246.1600; entry=max(open,pivot); prev_close=245.5100; require_prev_close_lte_pivot=True; avg_value_10=113.7217M; adr20=8.8880; dr=7.6088; adr5=8.5745; distance_to_ma5=1.7060; adr10_price=16.4258"
breakout_1_1,EYE,2025-08-05,25.32,24.3,1.02,2025-08-06,24.3,stop_loss,394,9976.08,-401.88,-0.040284,-1.0,-2.0784,0.0,1,94.0,"buy_stop=pivot_high_1_1:25.3200; entry=max(open,pivot); prev_close=25.0700; require_prev_close_lte_pivot=True; avg_value_10=49.1138M; adr20=3.0555; dr=3.1575; adr5=3.2644; distance_to_ma5=0.3337; adr10_price=0.7776"
breakout_1_1,U,2025-08-05,34.87,32.13,2.74,2025-08-06,32.13,stop_loss,286,9972.82,-783.64,-0.078578,-1.0,-1.8686,1.4708,1,92.0,"buy_stop=pivot_high_1_1:34.8700; entry=max(open,pivot); prev_close=34.0100; require_prev_close_lte_pivot=True; avg_value_10=379.6018M; adr20=5.3755; dr=4.5697; adr5=5.2270; distance_to_ma5=1.0713; adr10_price=1.6170"
breakout_1_1,QBTS,2025-08-06,18.588,17.49,1.098,2025-08-06,17.49,same_day_stop_loss_red_candle,535,9944.58,-587.43,-0.05907,-1.0,-1.0729,0.02,0,98.0,"buy_stop=pivot_high_1_1:18.5880; entry=max(open,pivot); prev_close=18.3000; require_prev_close_lte_pivot=True; avg_value_10=686.7094M; adr20=8.2181; dr=6.8926; adr5=7.3896; distance_to_ma5=0.5407; adr10_price=1.3393"
breakout_1_1,AMSC,2025-08-05,57.86,53.71,4.15,2025-08-07,53.71,stop_loss,172,9951.92,-713.8,-0.071725,-1.0,-1.388,0.1349,2,98.0,"buy_stop=pivot_high_1_1:57.8600; entry=max(open,pivot); prev_close=55.5200; require_prev_close_lte_pivot=True; avg_value_10=82.4705M; adr20=5.6952; dr=6.9572; adr5=9.3271; distance_to_ma5=3.0840; adr10_price=3.6251"
breakout_1_1,BE,2025-08-05,39.09,35.0,4.09,2025-08-07,36.8,hold_2d_exit,255,9967.95,-583.95,-0.058583,-0.5599,-0.7922,0.1868,2,97.0,"buy_stop=pivot_high_1_1:39.0900; entry=max(open,pivot); prev_close=36.1000; require_prev_close_lte_pivot=True; avg_value_10=552.7278M; adr20=6.9888; dr=7.6141; adr5=9.8001; distance_to_ma5=0.6253; adr10_price=3.0274"
breakout_1_1,BELFB,2025-08-05,132.22,126.2068,6.0132,2025-08-07,132.4597,hold_2d_exit,75,9916.5,17.98,0.001813,0.0399,-0.4618,0.3937,2,95.0,"buy_stop=pivot_high_1_1:131.5308; entry=max(open,pivot); prev_close=131.3610; require_prev_close_lte_pivot=True; avg_value_10=28.0856M; adr20=4.6334; dr=3.8859; adr5=4.5947; distance_to_ma5=2.7129; adr10_price=7.3390"
breakout_1_1,GNRC,2025-08-05,197.18,192.45,4.73,2025-08-07,192.45,stop_loss,50,9859.0,-236.5,-0.023988,-1.0,-1.0486,0.5729,2,93.0,"buy_stop=pivot_high_1_1:197.1800; entry=max(open,pivot); prev_close=196.4300; require_prev_close_lte_pivot=True; avg_value_10=313.4679M; adr20=3.6608; dr=2.6129; adr5=7.4517; distance_to_ma5=4.7173; adr10_price=9.8414"
breakout_1_1,VSEC,2025-08-05,157.8642,147.2607,10.6035,2025-08-07,154.9787,hold_2d_exit,63,9945.45,-181.79,-0.018278,-0.2721,-0.5311,0.3286,2,91.0,"buy_stop=pivot_high_1_1:157.8642; entry=max(open,pivot); prev_close=156.6062; require_prev_close_lte_pivot=True; avg_value_10=40.7399M; adr20=3.7464; dr=3.5831; adr5=6.5448; distance_to_ma5=6.7608; adr10_price=7.1182"
breakout_1_1,IONQ,2025-08-05,42.275,38.42,3.855,2025-08-07,40.49,hold_2d_exit,236,9976.9,-421.26,-0.042224,-0.463,-0.9507,0.3437,2,91.0,"buy_stop=pivot_high_1_1:42.2750; entry=max(open,pivot); prev_close=39.8600; require_prev_close_lte_pivot=True; avg_value_10=747.2870M; adr20=6.1217; dr=5.7563; adr5=6.0603; distance_to_ma5=1.5800; adr10_price=2.5315"
breakout_1_1,NNE,2025-08-06,38.19,36.1,2.09,2025-08-07,36.1,stop_loss,260,9929.4,-543.4,-0.054726,-1.0,-1.1435,0.5311,1,93.0,"buy_stop=pivot_high_1_1:38.1900; entry=max(open,pivot); prev_close=37.9500; require_prev_close_lte_pivot=True; avg_value_10=184.5774M; adr20=7.9191; dr=5.3619; adr5=6.2210; distance_to_ma5=2.0487; adr10_price=3.5070"
breakout_1_1,URBN,2025-08-06,78.67,77.19,1.48,2025-08-07,77.19,stop_loss,126,9912.42,-186.48,-0.018813,-1.0,-2.7365,1.3784,1,91.0,"buy_stop=pivot_high_1_1:78.1200; entry=max(open,pivot); prev_close=77.8100; require_prev_close_lte_pivot=True; avg_value_10=118.3749M; adr20=3.3478; dr=1.9285; adr5=3.5073; distance_to_ma5=1.6540; adr10_price=2.9216"
breakout_1_1,EOSE,2025-08-06,6.55,6.06,0.49,2025-08-08,6.37,hold_2d_exit,1519,9949.45,-273.42,-0.027481,-0.3673,-0.7245,0.7347,2,94.0,"buy_stop=pivot_high_1_1:6.5500; entry=max(open,pivot); prev_close=6.5100; require_prev_close_lte_pivot=True; avg_value_10=89.4678M; adr20=9.2075; dr=7.2857; adr5=11.1577; distance_to_ma5=0.4283; adr10_price=0.6063"
breakout_1_1,RYTM,2025-08-06,90.4,85.73,4.67,2025-08-08,91.98,hold_2d_exit,110,9944.0,173.8,0.017478,0.3383,-0.5161,0.7088,2,94.0,"buy_stop=pivot_high_1_1:90.4000; entry=max(open,pivot); prev_close=88.5700; require_prev_close_lte_pivot=True; avg_value_10=47.7336M; adr20=3.4102; dr=3.4038; adr5=4.0371; distance_to_ma5=1.1917; adr10_price=2.8728"
breakout_1_1,LQDA,2025-08-06,20.33,19.14,1.19,2025-08-08,19.14,stop_loss,489,9941.37,-581.91,-0.058534,-1.0,-1.1008,0.2605,2,94.0,"buy_stop=pivot_high_1_1:20.3300; entry=max(open,pivot); prev_close=20.0700; require_prev_close_lte_pivot=True; avg_value_10=53.8311M; adr20=6.4895; dr=5.0025; adr5=8.0415; distance_to_ma5=0.9107; adr10_price=1.4309"
breakout_1_1,FN,2025-08-06,332.61,321.88,10.73,2025-08-08,343.99,hold_2d_exit,29,9645.69,330.02,0.034214,1.0606,-0.9562,1.2209,2,92.0,"buy_stop=pivot_high_1_1:332.6100; entry=max(open,pivot); prev_close=328.1000; require_prev_close_lte_pivot=True; avg_value_10=149.6781M; adr20=3.0997; dr=3.2977; adr5=3.5948; distance_to_ma5=3.4500; adr10_price=10.0312"
breakout_1_1,APH,2025-08-06,107.6793,106.4459,1.2335,2025-08-08,109.4002,hold_2d_exit,92,9906.5,158.32,0.015982,1.3952,-0.5726,1.8952,2,91.0,"buy_stop=pivot_high_1_1:107.6296; entry=max(open,pivot); prev_close=107.3610; require_prev_close_lte_pivot=True; avg_value_10=1018.6207M; adr20=2.6859; dr=1.8226; adr5=2.2059; distance_to_ma5=1.4629; adr10_price=2.4231"
breakout_1_1,KC,2025-08-06,14.23,13.773,0.457,2025-08-08,13.62,stop_loss,699,9946.77,-426.39,-0.042867,-1.3348,-1.86,0.5689,2,90.0,"buy_stop=pivot_high_1_1:14.2300; entry=max(open,pivot); prev_close=14.0700; require_prev_close_lte_pivot=True; avg_value_10=25.0753M; adr20=3.8938; dr=3.1499; adr5=3.6314; distance_to_ma5=0.0557; adr10_price=0.5499"
breakout_1_1,HOOD,2025-08-07,107.89,101.18,6.71,2025-08-11,113.62,hold_2d_exit,92,9925.88,527.16,0.05311,0.8539,-0.073,1.4277,2,98.0,"buy_stop=pivot_high_1_1:107.3000; entry=max(open,pivot); prev_close=105.6500; require_prev_close_lte_pivot=True; avg_value_10=4498.0552M; adr20=5.1855; dr=4.8734; adr5=7.0878; distance_to_ma5=4.6993; adr10_price=6.5912"
breakout_1_1,CRDO,2025-08-07,119.8,110.1,9.7,2025-08-11,118.57,hold_2d_exit,82,9823.6,-100.86,-0.010267,-0.1268,-0.3711,0.3093,2,97.0,"buy_stop=pivot_high_1_1:118.9500; entry=max(open,pivot); prev_close=117.3400; require_prev_close_lte_pivot=True; avg_value_10=465.2695M; adr20=5.8272; dr=4.5577; adr5=6.5332; distance_to_ma5=5.2247; adr10_price=6.7280"
breakout_1_1,CLS,2025-08-07,205.26,191.6,13.66,2025-08-11,204.6,hold_2d_exit,48,9852.48,-31.68,-0.003215,-0.0483,-0.5461,0.4722,2,97.0,"buy_stop=pivot_high_1_1:205.2600; entry=max(open,pivot); prev_close=198.6300; require_prev_close_lte_pivot=True; avg_value_10=978.7506M; adr20=5.3553; dr=3.9383; adr5=4.9213; distance_to_ma5=3.0253; adr10_price=11.8251"
breakout_1_1,SOFI,2025-08-07,22.12,21.02,1.1,2025-08-11,22.42,hold_2d_exit,449,9931.88,134.7,0.013562,0.2727,-0.4,0.9273,2,95.0,"buy_stop=pivot_high_1_1:22.1200; entry=max(open,pivot); prev_close=21.4600; require_prev_close_lte_pivot=True; avg_value_10=2031.9552M; adr20=4.8529; dr=3.4594; adr5=4.1838; distance_to_ma5=0.4393; adr10_price=1.1332"
breakout_1_1,LITE,2025-08-07,111.99,108.34,3.65,2025-08-11,115.03,hold_2d_exit,88,9855.12,267.52,0.027145,0.8329,-0.8986,2.0329,2,94.0,"buy_stop=pivot_high_1_1:111.9900; entry=max(open,pivot); prev_close=110.0100; require_prev_close_lte_pivot=True; avg_value_10=194.0822M; adr20=3.9474; dr=3.9463; adr5=4.4914; distance_to_ma5=1.5267; adr10_price=4.3803"
breakout_1_1,FUTU,2025-08-07,155.1124,149.4531,5.6592,2025-08-11,156.9824,hold_2d_exit,64,9927.19,119.68,0.012056,0.3304,-0.4035,0.6539,2,93.0,"buy_stop=pivot_high_1_1:155.1124; entry=max(open,pivot); prev_close=152.5829; require_prev_close_lte_pivot=True; avg_value_10=318.5916M; adr20=4.2932; dr=2.4944; adr5=3.4041; distance_to_ma5=5.1976; adr10_price=5.9464"
