strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout_1_1,ABVX,2025-08-01,72.9,69.665,3.235,2025-08-04,69.665,stop_loss,137,9987.3,-443.2,-0.044376,-1.0,-1.0912,0.0155,1,99.0,"buy_stop=pivot_high_1_1:72.9000; entry=max(open,pivot); prev_close=71.7700; require_prev_close_lte_pivot=True; avg_value_10=336.6955M; adr20=7.0465; dr=5.1607; adr5=5.5605; distance_to_ma5=1.2377; adr10_price=5.0750"
breakout_1_1,ATAI,2025-08-04,4.29,3.82,0.47,2025-08-05,4.2082,atr_trail_0.5x,2329,9991.41,-190.48,-0.019064,-0.174,-0.5957,0.234,1,98.0,"buy_stop=pivot_high_1_1:4.2900; entry=max(open,pivot); prev_close=4.1700; require_prev_close_lte_pivot=True; avg_value_10=32.2815M; adr20=9.3866; dr=9.7257; adr5=11.9471; distance_to_ma5=0.3613; adr10_price=0.4619"
breakout_1_1,TSSI,2025-08-04,29.26,25.77,3.49,2025-08-05,28.3236,atr_trail_0.5x,341,9977.66,-319.32,-0.032004,-0.2683,-0.4928,0.4957,1,98.0,"buy_stop=pivot_high_1_1:29.2600; entry=max(open,pivot); prev_close=27.0900; require_prev_close_lte_pivot=True; avg_value_10=73.7311M; adr20=10.7298; dr=7.9521; adr5=11.6847; distance_to_ma5=2.3733; adr10_price=3.2626"
breakout_1_1,PL,2025-08-04,6.51,5.87,0.64,2025-08-05,6.3748,atr_trail_0.5x,1535,9992.85,-207.5,-0.020765,-0.2112,-0.4219,0.3516,1,94.0,"buy_stop=pivot_high_1_1:6.5100; entry=max(open,pivot); prev_close=6.1800; require_prev_close_lte_pivot=True; avg_value_10=37.0550M; adr20=5.8840; dr=5.2885; adr5=5.9400; distance_to_ma5=0.1620; adr10_price=0.3943"
breakout_1_1,KRMN,2025-08-04,51.76,49.29,2.47,2025-08-05,50.4663,atr_trail_0.5x,193,9989.68,-249.69,-0.024995,-0.5238,-0.8623,0.0283,1,93.0,"buy_stop=pivot_high_1_1:51.7600; entry=max(open,pivot); prev_close=50.2200; require_prev_close_lte_pivot=True; avg_value_10=165.7975M; adr20=4.7288; dr=2.3985; adr5=3.7675; distance_to_ma5=0.2593; adr10_price=2.1584"
breakout_1_1,NET,2025-08-04,204.57,192.8,11.77,2025-08-05,208.1432,atr_trail_0.5x,48,9819.36,171.51,0.017467,0.3036,-0.158,0.9354,1,93.0,"buy_stop=pivot_high_1_1:200.7650; entry=max(open,pivot); prev_close=200.1100; require_prev_close_lte_pivot=True; avg_value_10=761.5332M; adr20=3.6802; dr=4.4596; adr5=4.4776; distance_to_ma5=4.3793; adr10_price=8.1258"
breakout_1_1,VST,2025-08-04,212.2331,196.4457,15.7874,2025-08-05,209.7629,atr_trail_0.5x,47,9974.95,-116.1,-0.011639,-0.1565,-0.41,0.2399,1,92.0,"buy_stop=pivot_high_1_1:212.2331; entry=max(open,pivot); prev_close=207.2542; require_prev_close_lte_pivot=True; avg_value_10=1051.5207M; adr20=4.2676; dr=3.2844; adr5=4.2896; distance_to_ma5=5.3325; adr10_price=8.6029"
breakout_1_1,STX,2025-08-04,156.272,149.7908,6.4812,2025-08-05,149.7908,stop_loss,64,10001.41,-414.79,-0.041474,-1.0,-1.5681,0.026,1,91.0,"buy_stop=pivot_high_1_1:156.2720; entry=max(open,pivot); prev_close=153.6517; require_prev_close_lte_pivot=True; avg_value_10=705.3619M; adr20=3.3282; dr=3.4252; adr5=5.0923; distance_to_ma5=1.5854; adr10_price=6.0283"
breakout_1_1,APH,2025-08-04,107.9877,102.2183,5.7694,2025-08-05,106.4697,atr_trail_0.5x,92,9934.87,-139.66,-0.014057,-0.2631,-0.3707,0.231,1,90.0,"buy_stop=pivot_high_1_1:107.6296; entry=max(open,pivot); prev_close=103.7601; require_prev_close_lte_pivot=True; avg_value_10=1226.1827M; adr20=2.6578; dr=2.1990; adr5=2.3132; distance_to_ma5=1.8701; adr10_price=3.7628"
breakout_1_1,BBIO,2025-08-04,48.065,46.305,1.76,2025-08-05,47.45,atr_trail_0.5x,208,9997.52,-127.92,-0.012795,-0.3494,-0.6023,0.9688,1,90.0,"buy_stop=pivot_high_1_1:48.0650; entry=max(open,pivot); prev_close=47.3700; require_prev_close_lte_pivot=True; avg_value_10=93.2125M; adr20=3.0268; dr=2.0970; adr5=3.4006; distance_to_ma5=0.8540; adr10_price=1.4639"
