date,equity,cash_realized,open_positions,exposure,exposure_pct
2022-05-23,999753.6023852808,1000000.0,17,169407.22541165526,0.1694489772354627
2022-05-24,999655.5412474184,998571.0099999999,17,169417.51003857315,0.1694758874913711
2022-05-25,1002167.9378915932,998387.2299999999,27,269121.9014929434,0.2685397240497779
2022-05-26,1007902.1790236525,998387.2299999999,41,409854.6019168609,0.40664124996126516
2022-05-27,1014666.50882749,997928.7499999999,45,450545.9043893392,0.4440334833855637
2022-05-31,1008636.1907711648,998693.6899999998,31,310380.2385517357,0.30772268672456693
2022-06-01,1010993.4709115368,1000624.7599999998,27,270869.6454965822,0.2679242282864195
2022-06-02,1014001.6648169912,1001314.9399999997,31,311715.2596242889,0.3074109939262751
2022-06-03,1014478.3253897439,1002689.8499999996,30,301883.1240510687,0.29757474013561674
2022-06-06,1016382.691288383,1002874.8199999996,44,443722.6934074516,0.4365704937822009
2022-06-07,1026966.4954809687,1003291.0299999996,42,424366.0083730958,0.41322283661683484
2022-06-08,1020315.9899605259,1002612.1499999996,34,343705.0198836815,0.3368613481172424
2022-06-09,1012883.5027784084,1007802.3199999994,6,60567.38799948405,0.05979699327054255
2022-06-10,1012077.0293190868,1012205.3899999993,1,10173.934533451511,0.010052529835892443
2022-06-13,1011643.4499999994,1011643.4499999994,0,0.0,0.0
2022-06-14,1011643.4499999994,1011643.4499999994,0,0.0,0.0
2022-06-15,1011643.4499999994,1011643.4499999994,0,0.0,0.0
2022-06-16,1011643.4499999994,1011643.4499999994,0,0.0,0.0
2022-06-17,1011643.4499999994,1011643.4499999994,0,0.0,0.0
2022-06-21,1011052.8152431002,1011643.4499999994,8,80574.8118847374,0.07969396916753926
2022-06-22,1010784.6732361612,1010491.1799999994,8,80516.99035491781,0.07965790586943902
2022-06-23,1014257.9778329625,1010344.6099999994,12,121074.22674101152,0.11937222027052288
2022-06-24,1014162.1156992415,1009998.4799999994,17,171602.4608092608,0.16920614382341115
2022-06-27,1011923.5909902571,1009338.4699999994,16,161319.74733259153,0.1594189015543415
2022-06-28,1008810.9453410971,1009188.9099999995,7,70673.981728719,0.07005671583472249
2022-06-29,1007186.8707509958,1006738.4499999996,6,58572.78973255475,0.058154838425247456
2022-06-30,1006596.2200883067,1006498.4199999997,5,50003.35011158307,0.04967567840379569
2022-07-01,1006755.6276428333,1006464.8099999997,7,70274.69166502773,0.06980312772580705
2022-07-05,1005775.799867706,1005264.3299999997,3,30111.710033416748,0.029938789576541284
2022-07-06,1005346.4781636264,1004899.4999999997,10,99698.92308911984,0.09916871969475703
2022-07-07,1006885.5249383844,1004899.4999999997,27,269962.6676466066,0.2681165444931059
2022-07-08,1005802.5410897228,1004323.9899999996,28,278784.6195760179,0.2771762927482492
2022-07-11,1001563.4797283863,1001105.1999999996,18,177984.56107285238,0.17770672021819323
2022-07-12,999976.6006932792,999378.0599999997,8,79143.6380100286,0.07914548995962374
2022-07-13,999347.8038266326,999003.6999999997,4,40115.9592245909,0.04014213977454264
