strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
breakout,ASST,2024-05-29,46.0,43.700001,2.299999,2024-05-29,43.700001,same_day_stop_loss,218,10028.0,-501.4,-0.05,-1.0,-1.739131,3.913045,0,96.0,"buy_stop=pivot_high_1_1:46.0000; entry=max(open,pivot)"
breakout,ADUS,2024-05-29,111.800003,111.110001,0.690002,2024-05-29,111.110001,same_day_stop_loss,89,9950.2,-61.41,-0.006172,-1.0,-1.913036,0.753616,0,90.0,"buy_stop=pivot_high_1_1:111.8000; entry=max(open,pivot)"
breakout,ASM,2024-05-29,1.08,1.04,0.04,2024-05-30,1.04,stop_loss,9303,10047.24,-372.12,-0.037037,-1.0,-1.749998,0.249999,1,95.0,"buy_stop=pivot_high_1_1:0.9200; entry=max(open,pivot)"
breakout,APEI,2024-05-29,17.860001,17.629999,0.230001,2024-05-30,17.925,ma10_break,563,10055.18,36.59,0.003639,0.282604,-0.652176,2.521723,1,94.0,"buy_stop=pivot_high_1_1:17.8600; entry=max(open,pivot)"
breakout,ALKT,2024-05-29,28.459999,27.155001,1.304998,2024-05-30,27.842,ma10_break,353,10046.38,-218.15,-0.021715,-0.473563,-0.559387,0.544063,1,90.0,"buy_stop=pivot_high_1_1:28.4600; entry=max(open,pivot)"
breakout,ASPN,2024-05-29,29.0,28.559999,0.440001,2024-05-31,28.559999,stop_loss,346,10034.0,-152.24,-0.015172,-1.0,-1.977272,2.272725,2,99.0,"buy_stop=pivot_high_1_1:27.4900; entry=max(open,pivot)"
breakout,AEYE,2024-05-29,25.59,23.0,2.59,2024-05-31,23.0,stop_loss,392,10031.28,-1015.28,-0.101211,-1.0,-1.579151,0.220077,2,99.0,"buy_stop=pivot_high_1_1:25.5900; entry=max(open,pivot)"
breakout,AIRJ,2024-05-29,20.0,14.14,5.86,2024-05-31,14.14,stop_loss,502,10040.0,-2941.72,-0.293,-1.0,-1.244027,0.0,2,99.0,"buy_stop=pivot_high_1_1:14.5700; entry=max(open,pivot)"
breakout,ASC,2024-05-30,21.460981,20.885967,0.575014,2024-05-31,21.12582,ma10_break,467,10022.28,-156.52,-0.015617,-0.582874,-0.961526,0.150232,1,94.0,"buy_stop=pivot_high_1_1:21.4610; entry=max(open,pivot)"
breakout,ATNI,2024-05-30,21.736778,20.452826,1.283952,2024-05-31,21.933891,ma10_break,462,10042.39,91.07,0.009068,0.15352,-0.838029,0.485914,1,91.0,"buy_stop=pivot_high_1_1:21.7368; entry=max(open,pivot)"
