date,equity,cash_realized,open_positions,exposure
2024-04-29,1000000.0,1000000.0,0,0.0
2024-04-30,1000000.0,1000000.0,0,0.0
2024-05-01,1000000.0,1000000.0,0,0.0
2024-05-02,1000000.0,1000000.0,0,0.0
2024-05-03,1000000.0,1000000.0,0,0.0
2024-05-06,1000000.0,1000000.0,0,0.0
2024-05-07,1000000.0,1000000.0,0,0.0
2024-05-08,1000000.0,1000000.0,0,0.0
2024-05-09,1000000.0,1000000.0,0,0.0
2024-05-10,1000000.0,1000000.0,0,0.0
2024-05-13,1000000.0,1000000.0,0,0.0
2024-05-14,1000000.0,1000000.0,0,0.0
2024-05-15,1000000.0,1000000.0,0,0.0
2024-05-16,1000000.0,1000000.0,0,0.0
2024-05-17,1000000.0,1000000.0,0,0.0
2024-05-20,1000000.0,1000000.0,0,0.0
2024-05-21,1000000.0,1000000.0,0,0.0
2024-05-22,1000000.0,1000000.0,0,0.0
2024-05-23,1000000.0,1000000.0,0,0.0
2024-05-24,1000000.0,1000000.0,0,0.0
2024-05-28,1000000.0,1000000.0,0,0.0
2024-05-29,1005016.9356249801,999437.19,17,170500.1500293406
2024-05-30,1004588.695608425,999065.07,29,290793.827077408
2024-05-31,1012178.4208872044,992968.1399999999,32,321495.6026205242
2024-06-03,1020355.5988514688,988134.87,34,342485.99170598254
2024-06-04,1011300.0149972488,985592.86,31,312469.508797984
2024-06-05,1012872.0970034553,981859.85,33,332820.4348152684
2024-06-06,1005624.7957588722,977210.76,35,352739.59430251585
2024-06-07,990448.3523387018,972709.3500000001,34,341960.6214031634
2024-06-10,989868.8365679613,968456.28,33,331268.68219310616
2024-06-11,994419.8828977457,963703.5800000001,31,310648.09115058754
2024-06-12,999013.2192297542,961443.17,41,408912.6761561501
2024-06-13,998073.8678439187,958362.67,41,408567.83404456626
2024-06-14,992791.9303056964,961095.73,35,348512.623572115
2024-06-17,994377.3614054301,956216.4,31,308641.2265041729
2024-06-18,991465.9576962956,950628.5100000001,32,318017.31839028286
2024-06-20,989792.9822029563,949980.5900000001,31,308005.6937083177
2024-06-21,986965.0419850512,953201.66,37,366038.69262410916
2024-06-24,990674.6566907306,948777.22,39,385936.0604641608
2024-06-25,986754.8395921177,954623.5899999999,37,365837.3266207651
2024-06-26,996702.4506752254,950424.5499999999,35,346146.0896108864
2024-06-27,1002908.1501366221,950315.7699999999,43,426254.0617101061
2024-06-28,997774.9580395239,946491.39,43,426466.3968225844
2024-07-01,994287.7695111197,945114.78,46,456286.4567649491
2024-07-02,991702.6606475132,942346.14,47,465932.4468844063
2024-07-03,995535.3177078994,940442.7299999999,53,525028.2484900728
2024-07-05,998826.2732373904,939793.0799999998,50,495427.5934323407
2024-07-08,1010779.4866296387,938444.32,53,526073.4547427035
2024-07-09,1009018.1542764006,941166.1300000001,51,506822.3349217527
2024-07-10,1020079.2096026931,941439.3900000001,47,467336.72525731253
2024-07-11,1027273.1314104829,940723.2900000002,52,518564.4530601852
2024-07-12,1038840.0810085807,949495.1900000002,55,550848.7464287631
2024-07-15,1054720.5994865573,949523.2300000002,58,583480.3548935784
2024-07-16,1073382.5695118932,966557.4400000003,58,587219.1114186645
2024-07-17,1064667.1971945472,978667.7500000003,54,551706.8505404289
2024-07-18,1039923.9007223806,977995.0400000005,52,532073.686337752
2024-07-19,1037086.2837175801,990171.5800000007,46,472277.2008473973
2024-07-22,1041853.917488049,993901.1900000006,43,441701.22428142285
2024-07-23,1047043.2750360358,986490.9500000005,42,432273.9965095657
2024-07-24,1030034.0401482692,989840.0200000005,38,391685.255737671
2024-07-25,1041898.6823166623,987559.2600000005,43,443240.9055687276
2024-07-26,1054859.1865835444,985809.6600000005,47,486277.3539944974
2024-07-29,1052122.0838695567,990017.1700000006,45,465495.00641817244
2024-07-30,1042217.2179841887,987799.7800000005,41,426256.04165665334
2024-07-31,1045305.415443381,988395.7500000005,41,426208.9120594663
2024-08-01,1026360.6851393763,990203.6800000005,27,278321.3463855732
2024-08-02,1020027.4732579606,983527.7600000004,18,184868.12920314886
2024-08-05,1005144.7749020112,1000463.0200000004,8,82280.71455871503
2024-08-06,1005069.188993592,1000463.0200000004,14,142537.68789160316
2024-08-07,1001160.7767028285,998924.3900000004,16,161768.50193352258
2024-08-08,1009196.1220258197,997522.8400000004,22,221545.28291081873
2024-08-09,1013223.4200438403,996510.1100000005,26,261908.3247406203
2024-08-12,1009754.8106575897,993066.1900000005,29,292348.3140427808
2024-08-13,1015058.4559960715,990876.3900000005,35,353125.90330241114
2024-08-14,1007933.4065227336,990876.3900000005,42,423404.9074917161
2024-08-15,1026606.7686175703,989999.1700000005,52,525838.8878000814
2024-08-16,1028159.4340155502,989161.9900000006,56,567262.7480166685
2024-08-19,1043660.6281029221,986150.3500000007,58,589328.0142822992
2024-08-20,1031083.6364623543,984940.8500000007,61,619843.493691517
2024-08-21,1035815.0213475191,982704.2100000007,58,589772.0577560324
2024-08-22,1023867.5132736458,974872.1400000008,54,549226.555356588
2024-08-23,1039952.0078756585,969929.6900000009,59,601440.5050340553
2024-08-26,1033262.0427256362,966666.5400000011,61,622822.5308173556
2024-08-27,1021774.2710625675,968384.6800000009,49,500160.0233238727
2024-08-28,1015853.1578331307,968801.7600000009,45,459445.0491102725
2024-08-29,1008031.5132291459,968118.7400000008,44,449178.0291238793
