strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,DJT,2024-05-21,48.18,47.84,0.34,2024-05-21,47.84,same_day_stop_loss_red_candle,1037,49962.66,-352.58,-0.007057,-1.0,-17.5588,0.6176,0,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=47.84000015258789; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,IBRX,2024-05-21,6.97,6.88,0.09,2024-05-21,6.88,same_day_stop_loss_red_candle,7171,49981.87,-645.39,-0.012912,-1.0,-5.2222,0.8444,0,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=6.880000114440918; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,IBRX,2024-05-22,6.78,6.5,0.28,2024-05-22,6.94,hold_0d_close,7367,49948.26,1178.72,0.023599,0.5714,-0.3929,1.4286,0,97.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:6.7800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=6.5; decision_date=2024-05-21 00:00:00; filter_close=6.8050; filter_ma50=6.3803; filter_avg_value_10=41.99; filter_adr20=14.77; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,DJT,2024-05-22,43.51,42.21,1.3,2024-05-22,42.21,same_day_stop_loss_red_candle,1149,49992.99,-1493.7,-0.029878,-1.0,-1.1385,2.1,0,95.0,entry=rsi2_next_open; setup_rsi2=1.49; raw_entry=open:43.5100; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=42.209999084472656; decision_date=2024-05-21 00:00:00; filter_close=44.1900; filter_ma50=43.4630; filter_avg_value_10=220.86; filter_adr20=10.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,JMIA,2024-05-23,5.75,5.66,0.09,2024-05-23,5.66,same_day_stop_loss_red_candle,8684,49933.0,-781.56,-0.015652,-1.0,-2.2222,1.4444,0,93.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:5.7500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=5.659999847412109; decision_date=2024-05-22 00:00:00; filter_close=5.7000; filter_ma50=5.3830; filter_avg_value_10=27.41; filter_adr20=9.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,MOD,2024-05-23,98.81,85.77,13.04,2024-05-23,96.72,hold_0d_close,504,49800.24,-1053.36,-0.021152,-0.1603,-0.2385,0.1779,0,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=85.7699966430664; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,IAG,2024-05-23,4.03,3.91,0.12,2024-05-23,3.91,same_day_stop_loss_red_candle,12367,49839.01,-1484.04,-0.029777,-1.0,-1.5,0.25,0,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=3.910000085830689; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,WING,2024-05-23,377.3685,370.2279,7.1407,2024-05-23,377.4577,hold_0d_close,131,49435.28,11.68,0.000236,0.0125,-0.5728,0.3273,0,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3685; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=370.2278812580207; decision_date=2024-05-22 00:00:00; filter_close=374.9025; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,TME,2024-05-24,13.7339,13.6386,0.0953,2024-05-24,14.1056,hold_0d_close,3623,49758.08,1346.68,0.027065,3.9,-0.2,4.2,0,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=13.638635619635572; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,JMIA,2024-05-24,5.73,5.55,0.18,2024-05-24,6.16,hold_0d_close,8697,49833.81,3739.71,0.075044,2.3889,-0.0556,2.6667,0,94.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:5.7300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=5.550000190734863; decision_date=2024-05-23 00:00:00; filter_close=5.6600; filter_ma50=5.3560; filter_avg_value_10=25.72; filter_adr20=9.65; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,TWST,2024-05-24,41.9,41.22,0.68,2024-05-24,42.23,hold_0d_close,1193,49986.7,393.69,0.007876,0.4853,-0.9559,1.3529,0,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=41.220001220703125; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,GGAL,2024-05-24,27.3779,27.0874,0.2905,2024-05-24,27.0874,same_day_stop_loss_red_candle,1827,50019.35,-530.75,-0.010611,-1.0,-1.697,6.1515,0,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.087353894259124; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,MOD,2024-05-24,96.93,95.7,1.23,2024-05-24,103.75,hold_0d_close,516,50015.88,3519.12,0.07036,5.5447,-0.1301,5.9837,0,93.0,entry=rsi2_next_open; setup_rsi2=3.84; raw_entry=open:96.9300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=95.6999969482422; decision_date=2024-05-23 00:00:00; filter_close=96.7200; filter_ma50=95.6396; filter_avg_value_10=103.28; filter_adr20=5.32; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,IAG,2024-05-24,3.95,3.85,0.1,2024-05-24,4.0,hold_0d_close,12706,50188.7,635.3,0.012658,0.5,0.0,1.1,0,91.0,entry=rsi2_next_open; setup_rsi2=3.00; raw_entry=open:3.9500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=3.849999904632568; decision_date=2024-05-23 00:00:00; filter_close=3.8700; filter_ma50=3.6672; filter_avg_value_10=51.47; filter_adr20=4.03; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,CVNA,2024-05-28,22.15,21.714,0.436,2024-05-28,21.714,same_day_stop_loss_red_candle,2267,50214.05,-988.41,-0.019684,-1.0,-3.4129,0.1193,0,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=21.714000701904297; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,PRCT,2024-05-30,64.63,62.71,1.92,2024-05-30,64.22,hold_0d_close,776,50152.88,-318.16,-0.006344,-0.2135,-0.2708,0.6693,0,94.0,entry=rsi2_next_open; setup_rsi2=3.45; raw_entry=open:64.6300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=62.709999084472656; decision_date=2024-05-29 00:00:00; filter_close=64.1000; filter_ma50=55.9396; filter_avg_value_10=42.56; filter_adr20=5.43; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,EMBJ,2024-05-30,28.3675,27.9879,0.3796,2024-05-30,27.9879,same_day_stop_loss_red_candle,1768,50153.7,-671.07,-0.01338,-1.0,-1.2632,0.0263,0,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.987911306193364; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,SE,2024-05-30,67.23,66.95,0.28,2024-05-30,66.95,same_day_stop_loss_red_candle,745,50086.35,-208.6,-0.004165,-1.0,-3.0714,0.9643,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=66.94999694824219; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,OSCR,2024-05-31,19.88,18.56,1.32,2024-05-31,19.96,hold_0d_close,2520,50097.6,201.6,0.004024,0.0606,-0.0909,0.8485,0,97.0,entry=rsi2_next_open; setup_rsi2=3.28; raw_entry=open:19.8800; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=18.559999465942383; decision_date=2024-05-30 00:00:00; filter_close=19.8500; filter_ma50=17.6132; filter_avg_value_10=61.11; filter_adr20=5.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,KD,2024-05-31,26.64,26.33,0.31,2024-05-31,26.33,same_day_stop_loss_red_candle,1881,50109.84,-583.11,-0.011637,-1.0,-2.1936,0.2581,0,93.0,entry=rsi2_next_open; setup_rsi2=1.58; raw_entry=open:26.6400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=26.32999992370605; decision_date=2024-05-30 00:00:00; filter_close=26.6400; filter_ma50=22.9040; filter_avg_value_10=46.22; filter_adr20=3.72; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,EMBJ,2024-05-31,28.0478,27.888,0.1598,2024-05-31,27.888,same_day_stop_loss_red_candle,1786,50093.45,-285.43,-0.005698,-1.0,-6.25,0.0,0,92.0,entry=rsi2_next_open; setup_rsi2=2.15; raw_entry=open:28.0478; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.88802543077487; decision_date=2024-05-30 00:00:00; filter_close=28.0678; filter_ma50=26.5675; filter_avg_value_10=40.41; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,SE,2024-05-31,66.87,66.37,0.5,2024-05-31,66.37,same_day_stop_loss_red_candle,748,50018.76,-374.0,-0.007477,-1.0,-2.28,1.6,0,90.0,entry=rsi2_next_open; setup_rsi2=2.58; raw_entry=open:66.8700; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=66.37000274658203; decision_date=2024-05-30 00:00:00; filter_close=67.1500; filter_ma50=61.6118; filter_avg_value_10=380.41; filter_adr20=3.55; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,CVNA,2024-06-03,20.656,19.615,1.041,2024-06-03,19.615,same_day_stop_loss_red_candle,2423,50049.49,-2522.34,-0.050397,-1.0,-1.1007,0.1383,0,97.0,entry=rsi2_next_open; setup_rsi2=2.71; raw_entry=open:20.6560; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=19.614999771118164; decision_date=2024-05-31 00:00:00; filter_close=19.9960; filter_ma50=18.9806; filter_avg_value_10=312.42; filter_adr20=5.30; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,KD,2024-06-03,26.84,25.96,0.88,2024-06-03,26.51,hold_0d_close,1860,49922.4,-613.8,-0.012295,-0.375,-0.9432,0.0909,0,93.0,entry=rsi2_next_open; setup_rsi2=1.37; raw_entry=open:26.8400; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=25.959999084472656; decision_date=2024-05-31 00:00:00; filter_close=26.6100; filter_ma50=22.9894; filter_avg_value_10=44.85; filter_adr20=3.70; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,EMBJ,2024-06-03,28.1577,27.049,1.1087,2024-06-03,28.0179,hold_0d_close,1772,49895.47,-247.8,-0.004966,-0.1261,-0.2072,0.1892,0,91.0,entry=rsi2_next_open; setup_rsi2=1.00; raw_entry=open:28.1577; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=27.04898702081028; decision_date=2024-05-31 00:00:00; filter_close=27.7582; filter_ma50=26.6137; filter_avg_value_10=36.52; filter_adr20=3.25; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,ONTO,2024-06-03,220.46,209.58,10.88,2024-06-03,209.58,same_day_stop_loss_red_candle,226,49823.96,-2458.88,-0.049351,-1.0,-1.091,0.0,0,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:220.4600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=209.5800018310547; decision_date=2024-05-31 00:00:00; filter_close=216.7000; filter_ma50=199.0390; filter_avg_value_10=96.24; filter_adr20=3.88; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_0d_close_setup_low_stop,ZETA,2024-06-04,15.96,15.862,0.098,2024-06-04,15.862,same_day_stop_loss_red_candle,3118,49763.28,-305.56,-0.00614,-1.0,-4.4898,0.5102,0,96.0,entry=rsi2_next_open; setup_rsi2=3.47; raw_entry=open:15.9600; slippage_bps=0.0; initial_stop_mode=setup_low_stop; initial_stop=15.862000465393066; decision_date=2024-06-03 00:00:00; filter_close=15.9600; filter_ma50=13.6866; filter_avg_value_10=46.14; filter_adr20=3.69; rs_bucket=rs90_100
