date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2022-05-24,998751.5776925656,1000000.0,1,99957.73010772739,0.10008267555247481
2022-05-25,999979.9034495242,998967.84,2,199772.48935351532,0.1997765041721153
2022-05-26,1005055.47,1005055.47,0,0.0,0.0
2022-05-27,1005055.47,1005055.47,0,0.0,0.0
2022-05-31,1005055.47,1005055.47,0,0.0,0.0
2022-06-01,1005055.47,1005055.47,0,0.0,0.0
2022-06-02,1005055.47,1005055.47,0,0.0,0.0
2022-06-03,1005055.47,1005055.47,0,0.0,0.0
2022-06-06,1005055.47,1005055.47,0,0.0,0.0
2022-06-07,1005055.47,1005055.47,0,0.0,0.0
2022-06-08,1005055.47,1005055.47,0,0.0,0.0
2022-06-09,1005055.47,1005055.47,0,0.0,0.0
2022-06-10,1008919.7325707723,1005055.47,3,301577.0818177127,0.2989108767347437
2022-06-13,962497.1784370297,993887.13,10,983113.6112981732,1.0214197332969037
2022-06-14,902540.9745516456,959349.7699999999,23,2116288.8785915887,2.3448119678365797
2022-06-15,885460.1187356099,890814.0799999994,10,888411.0487835583,1.0033326515621757
2022-06-16,808337.0528234862,831703.8499999994,9,738846.1655408472,0.9140322875959845
2022-06-17,715072.3762304817,769532.0999999995,8,593574.7443698369,0.8300904413324957
2022-06-21,745186.6984824232,740557.2899999995,6,443583.5011645641,0.5952649209492391
2022-06-22,728513.8639976495,723196.0899999994,1,72298.22835220337,0.09924070347196115
2022-06-23,720118.8331652216,724590.0999999994,1,72441.36899999999,0.10059640945868623
2022-06-24,733382.9816987909,728556.3499999994,1,72843.27049999998,0.09932500796687095
2022-06-27,730282.2299999994,730282.2299999994,0,0.0,0.0
2022-06-28,730282.2299999994,730282.2299999994,0,0.0,0.0
2022-06-29,728746.7928147119,730282.2299999994,1,73006.68581199645,0.10018114183393576
2022-06-30,726270.2299999994,726270.2299999994,0,0.0,0.0
2022-07-01,736133.4534455715,726270.2299999994,4,290901.4055475815,0.3951748207963901
2022-07-05,755032.0139999994,745346.1899999994,1,74250.17599999999,0.09834043407860062
2022-07-06,759335.6899999994,759335.6899999994,0,0.0,0.0
2022-07-07,759335.6899999994,759335.6899999994,0,0.0,0.0
2022-07-08,759335.6899999994,759335.6899999994,0,0.0,0.0
2022-07-11,759335.6899999994,759335.6899999994,0,0.0,0.0
2022-07-12,759335.6899999994,759335.6899999994,0,0.0,0.0
2022-07-13,763762.4085220946,759335.6899999994,3,228062.2314512496,0.2986036349871651
2022-07-14,748712.9319221753,756937.0499999995,1,75693.69590193985,0.10109842193804634
2022-07-15,751840.8876018043,748319.8499999995,5,374158.58082451805,0.4976566012763631
2022-07-18,744276.6799999995,744276.6799999995,0,0.0,0.0
2022-07-19,746082.6724128184,744276.6799999995,1,74405.72915624235,0.09972853131090086
2022-07-20,740473.8699999994,740473.8699999994,0,0.0,0.0
2022-07-21,740419.5414218592,740473.8699999994,1,74021.72758021545,0.09997268229586212
2022-07-22,740100.5699999994,740100.5699999994,0,0.0,0.0
2022-07-25,734946.2369383195,740100.5699999994,3,220696.28345917125,0.30028901757298637
2022-07-26,730242.4717733759,730951.4599999994,2,146167.14569732663,0.20016248211688278
2022-07-27,734266.4522790292,730104.0499999993,4,292501.16649996187,0.3983583419780266
2022-07-28,731000.3699999994,731000.3699999994,0,0.0,0.0
2022-07-29,731000.3699999994,731000.3699999994,0,0.0,0.0
2022-08-01,731000.3699999994,731000.3699999994,0,0.0,0.0
2022-08-02,731000.3699999994,731000.3699999994,0,0.0,0.0
2022-08-03,731000.3699999994,731000.3699999994,0,0.0,0.0
2022-08-04,731421.5108129873,731000.3699999994,1,73045.03382766758,0.099867221223063
2022-08-05,737544.7302239613,732455.6799999995,2,146901.38796268374,0.19917624239288642
2022-08-08,740688.0519301344,740250.5999999994,1,74007.46196451827,0.09991718075060706
2022-08-09,741674.0499999993,741674.0499999993,0,0.0,0.0
2022-08-10,743727.594182113,741674.0499999993,1,74153.93643922424,0.09970577536627817
2022-08-11,744709.0499999993,744709.0499999993,0,0.0,0.0
2022-08-12,744709.0499999993,744709.0499999993,0,0.0,0.0
2022-08-15,744709.0499999993,744709.0499999993,0,0.0,0.0
2022-08-16,744709.0499999993,744709.0499999993,0,0.0,0.0
2022-08-17,744709.0499999993,744709.0499999993,0,0.0,0.0
2022-08-18,750873.0585676472,744709.0499999993,1,74467.31262223244,0.09917430352912784
2022-08-19,751026.1299999993,751026.1299999993,0,0.0,0.0
2022-08-22,745896.9983441698,751026.1299999993,7,525268.5035611563,0.7042105072512819
2022-08-23,744341.4757274935,746795.0499999993,11,818939.1976684255,1.1002197571592027
2022-08-24,769533.9128203946,762843.6599999995,8,612236.887988664,0.7955944212319036
2022-08-25,771668.4694601418,782412.0399999995,3,231911.15263786484,0.30053210908061273
2022-08-26,758339.6845775027,762908.9599999995,1,76283.95744459156,0.10059338710078453
2022-08-29,761751.0102947383,756481.2599999995,1,75605.44758123778,0.09925217893965688
2022-08-30,762699.1899999996,762699.1899999996,0,0.0,0.0
2022-08-31,785814.0889681594,762699.1899999996,9,693207.2451701763,0.882151713620223
