date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,999002.03,999002.03,0,0.0,0.0
2024-05-22,998687.0488758851,997508.3300000001,1,49948.26154565811,0.05001392738784338
2024-05-23,995012.168076106,996053.85,2,99235.51758673582,0.09973296887274402
2024-05-24,1004489.076015919,994854.5299999999,5,249787.12150746505,0.24867081929670132
2024-05-28,1005181.9199999998,1005181.9199999998,0,0.0,0.0
2024-05-29,1005181.9199999998,1005181.9199999998,0,0.0,0.0
2024-05-30,1003982.2630825804,1004300.8299999998,1,50217.50786590576,0.05001832174974911
2024-05-31,1003148.7898073576,1002946.7899999998,1,50196.99788093567,0.05003943422049623
2024-06-03,996946.8924310616,997809.8999999998,2,99982.86731205654,0.10028906060206241
2024-06-04,993309.4176956174,992151.5999999997,1,49735.92057609559,0.05007092421561667
2024-06-05,1008211.2111896143,993113.5599999998,12,600632.3406631459,0.595740588873679
2024-06-06,1012385.1383026124,1010605.3,1,50527.68132019043,0.04990954470638148
2024-06-07,1010308.66,1010308.66,0,0.0,0.0
2024-06-10,1010308.66,1010308.66,0,0.0,0.0
2024-06-11,1009882.41,1009882.41,0,0.0,0.0
2024-06-12,1010603.369312439,1009882.41,1,50489.73252105713,0.0499599883141174
2024-06-13,1010197.8300000001,1010197.8300000001,0,0.0,0.0
2024-06-14,1010197.8300000001,1010197.8300000001,0,0.0,0.0
2024-06-17,1008467.7100000001,1008467.7100000001,0,0.0,0.0
2024-06-18,1006866.5200000001,1006866.5200000001,0,0.0,0.0
2024-06-20,1007056.2228292848,1005353.9400000002,4,201565.3996887207,0.20015307499161333
2024-06-21,1010250.1565415573,1004931.22,3,151124.5383028984,0.14959120503405912
2024-06-24,1007277.0873554992,1008233.6299999999,4,201290.3235244751,0.19983609877689348
2024-06-25,1014262.316590805,1006527.2699999999,7,353443.31918525696,0.34847328290108454
2024-06-26,1012774.4327026366,1012578.0999999999,1,50502.101135253906,0.04986510273614101
2024-06-27,1009418.320701065,1010153.44,1,50539.5,0.05006794404613056
2024-06-28,1007600.5994594552,1007282.5,1,50344.66866417153,0.04996490543096123
2024-07-01,1011593.7712591934,1005688.38,3,151459.1482372284,0.1497232906532212
