date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,999002.03,999002.03,0,0.0,0.0
2024-05-22,998687.0488758851,997508.3300000001,1,49948.26154565811,0.05001392738784338
2024-05-23,993470.7252621565,995247.02,3,149084.96913483532,0.150064783333696
2024-05-24,1001626.4132103401,992652.92,6,298879.2807707543,0.29839396887788555
2024-05-28,1000608.27,1000608.27,0,0.0,0.0
2024-05-29,1000608.27,1000608.27,0,0.0,0.0
2024-05-30,999413.7230706787,999731.0599999999,1,50023.61787414551,0.050052962771462595
2024-05-31,1000060.9631148529,998489.62,2,100061.57576179504,0.10005547606831583
2024-06-03,991696.0306479068,994240.73,3,149470.84803182646,0.15072244257564726
2024-06-04,988587.6396949955,986694.89,2,99197.17043478058,0.10034231306531957
2024-06-05,1002658.8554677786,985524.15,13,646675.0177892861,0.6449601619362226
2024-06-06,992614.6207321383,985913.03,12,597063.8110766006,0.6015061622165255
2024-06-07,975240.6766714858,976597.9799999999,1,49541.45129442215,0.05079920524183633
2024-06-10,976210.1799999998,976210.1799999998,0,0.0,0.0
2024-06-11,975797.6799999998,975797.6799999998,0,0.0,0.0
2024-06-12,976493.6793362425,975797.6799999998,1,48741.752433776855,0.04991507212510414
2024-06-13,976319.6753536985,975797.6799999998,1,48741.752433776855,0.04992396820858785
2024-06-14,975971.6799999998,975971.6799999998,0,0.0,0.0
2024-06-17,974300.1799999998,974300.1799999998,0,0.0,0.0
2024-06-18,972752.8599999999,972752.8599999999,0,0.0,0.0
2024-06-20,972935.9427341078,971291.6099999999,4,194709.8396987915,0.20012606292622437
2024-06-21,975829.0940397641,969167.5899999997,5,243489.30081939697,0.24952043580848082
2024-06-24,970788.9769026181,972126.8899999997,5,242777.45809173584,0.2500826274998891
2024-06-25,978651.6380020902,970286.6799999997,9,438453.9657115936,0.44801842523524926
2024-06-26,978260.0499444577,976468.8099999997,5,244424.16908836365,0.24985602662834
2024-06-27,978757.5312901305,978347.8299999998,2,97878.00109863281,0.10000229675843904
2024-06-28,975463.358252681,975155.3099999998,1,48753.89364185013,0.0499802409074407
2024-07-01,979328.4912187957,973611.9899999999,3,146623.60829353333,0.14971851590987315
