date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,989353.5441880954,1000000.0,2,199148.63052027102,0.20129167342671286
2024-05-22,992104.0606103671,1000000.0,2,199148.63052027102,0.2007336109457609
2024-05-23,985232.9892232738,992826.0599999999,4,395811.4669463886,0.40174402529744124
2024-05-24,1012745.3237532208,992826.0599999999,7,697838.3492428804,0.689056106086672
2024-05-28,1015698.2272322862,1021387.9599999998,1,102121.70939124872,0.10054335692750391
2024-05-29,1016733.855317142,1021387.9599999998,2,203685.6033057522,0.2003332555914725
2024-05-30,1016324.7547153268,1016518.2999999998,4,406626.3651088918,0.40009491377860623
2024-05-31,1016477.3521775845,1017741.1799999998,4,406659.4255854768,0.4000673745600886
2024-06-03,1007172.8714114988,1018905.0299999998,5,505991.71286973584,0.5023881472905596
2024-06-04,999925.9149881721,1014899.3199999998,8,805330.9178311179,0.8053905852021487
2024-06-05,1041080.6024813065,1009507.3299999998,13,1329250.0176493083,1.2767983713087923
2024-06-06,1050065.0868652682,1033787.1299999999,11,1137630.6694350669,1.083390623748101
2024-06-07,1027808.5207706412,1035418.1299999999,3,312051.66277459526,0.3036087524752391
2024-06-10,1031879.3163888407,1027324.4499999998,1,102734.85163636664,0.0995609176428664
2024-06-11,1032054.6314874144,1031597.9499999998,1,103082.67063966063,0.09988102130901362
2024-06-12,1035988.1454252516,1031597.9499999998,2,206492.7557771408,0.1993196125737325
2024-06-13,1031704.0824489088,1034030.5199999998,2,206914.43453748018,0.2005559908673976
2024-06-14,1028298.1242987883,1033902.1899999998,2,206522.38885184634,0.20083902126406875
2024-06-17,1017828.9473629419,1029169.6799999998,4,409570.7308441502,0.4023964261434035
2024-06-18,1018160.3909786219,1024752.5399999998,7,714293.8747942356,0.7015533909227013
2024-06-20,1014448.7128596192,1015556.8499999999,9,915151.0925961607,0.9021166678958571
2024-06-21,1027038.9044139229,1015556.8499999999,13,1324569.6792334232,1.2896976672848488
2024-06-24,1018825.7777665623,1025252.6,7,715424.1491796962,0.7022046014069515
2024-06-25,1037543.419949954,1023405.6699999998,10,1025420.2433795708,0.98831549953739
2024-06-26,1036941.6783156146,1020430.7899999998,9,926821.203412119,0.8938026340282001
2024-06-27,1031836.9836843892,1036133.82,6,620656.9119095592,0.6015067512829151
2024-06-28,1025567.432159906,1031339.1399999999,6,618025.6333695737,0.6026182325895187
2024-07-01,1048156.5519737294,1029473.47,6,621188.790123286,0.5926488642880279
2024-07-02,1061097.278974076,1032297.3899999999,6,628251.3239508811,0.5920770285626471
2024-07-03,1059914.1288812393,1054578.58,3,318184.0729430252,0.30019797290453604
2024-07-05,1079540.7508138523,1060585.25,3,320610.81052647973,0.29698815008583535
2024-07-08,1079204.471468024,1060585.25,4,428625.48789782065,0.3971680059060249
2024-07-09,1076803.0220999017,1078550.52,3,323670.5985842644,0.30058477914843323
2024-07-10,1068440.893799241,1077131.18,5,537269.1805956337,0.5028534416023448
2024-07-11,1067426.0960606323,1068381.65,6,640379.580169226,0.5999287281176335
2024-07-12,1075130.4692078154,1063385.2199999997,6,640558.8425089509,0.5957963808624377
2024-07-15,1091348.3894344862,1079861.0299999998,3,321792.521722435,0.29485774188862013
2024-07-16,1090508.3976317795,1092770.7699999996,2,218161.58046758536,0.2000549293718045
2024-07-17,1078059.1318236738,1092770.7699999996,2,218161.58046758536,0.2023651338109231
2024-07-18,1070351.7519114746,1078818.9699999995,4,430027.4049362116,0.40176269545806076
2024-07-19,1059314.1368588768,1078818.9699999995,5,536227.6123750553,0.5062026397241334
2024-07-22,1058073.1907690186,1067249.9699999995,2,212425.23309984684,0.2007661047960718
2024-07-23,1068926.8824658075,1061385.2399999995,2,212353.16500260629,0.19866014082530006
2024-07-24,1059118.8498546777,1059059.2299999995,1,106128.13934160318,0.10020418327571555
2024-07-25,1053230.9572541509,1057773.9999999995,4,421922.86990477657,0.40059862179209005
2024-07-26,1066778.0908098996,1057773.9999999995,6,637324.3865327055,0.5974292048394506
2024-07-29,1065401.3698496937,1088432.1599999997,2,215401.51662792894,0.20217874945882383
2024-07-30,1056556.2377985744,1066008.0399999998,2,212397.1565696352,0.2010277815520572
2024-07-31,1059150.5474524766,1066008.0399999998,4,424196.9880547634,0.4005067920467622
