date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2022-05-24,998751.5776925656,1000000.0,1,99957.73010772739,0.10008267555247481
2022-05-25,999619.4721778524,1000000.0,2,199828.95459903358,0.19990502402246121
2022-05-26,1002519.922561306,998922.84,1,99871.22449130619,0.09962018932865532
2022-05-27,1002286.1,1002286.1,0,0.0,0.0
2022-05-31,1002286.1,1002286.1,0,0.0,0.0
2022-06-01,1002286.1,1002286.1,0,0.0,0.0
2022-06-02,1002286.1,1002286.1,0,0.0,0.0
2022-06-03,1002286.1,1002286.1,0,0.0,0.0
2022-06-06,1002286.1,1002286.1,0,0.0,0.0
2022-06-07,1002286.1,1002286.1,0,0.0,0.0
2022-06-08,1002286.1,1002286.1,0,0.0,0.0
2022-06-09,1002286.1,1002286.1,0,0.0,0.0
2022-06-10,1006139.7846403463,1002286.1,3,300768.156558098,0.29893277370560417
2022-06-13,963092.0591786108,1002286.1,11,1086829.7659662524,1.1284796251909432
2022-06-14,911891.8252265756,992535.8099999999,30,2827276.500828054,3.100451635396081
2022-06-15,901198.3272354826,967514.0399999998,26,2403508.6663010274,2.667014122933444
2022-06-16,806237.9584996538,855961.2899999999,12,1016753.0429599828,1.261107880422898
2022-06-17,721178.3757740109,825376.5299999999,15,1176928.6694885928,1.6319522451369177
2022-06-21,762415.250184262,757678.9400000002,6,453913.065668323,0.5953619967053655
2022-06-22,740348.9170848968,757678.9400000002,6,453913.065668323,0.6131069488905219
2022-06-23,740183.9142247317,744778.0700000003,1,74432.358,0.10055927529573566
2022-06-24,748931.9142247317,744778.0700000003,1,74432.358,0.09938467914943881
2022-06-27,744775.0100000002,744775.0100000002,0,0.0,0.0
2022-06-28,744775.0100000002,744775.0100000002,0,0.0,0.0
2022-06-29,743209.5464875338,744775.0100000002,1,74434.37211231994,0.10015260496060979
2022-06-30,740754.9671876071,744775.0100000002,1,74434.37211231994,0.10048447247667033
2022-07-01,750186.6154816629,740134.5400000003,4,296462.47572731023,0.39518497079152004
2022-07-05,751266.9280000003,741620.8000000003,1,73945.87199999999,0.09842822736368338
2022-07-06,755640.9280000003,741620.8000000003,1,73945.87199999999,0.09785847915320961
2022-07-07,754581.9300000003,754581.9300000003,0,0.0,0.0
2022-07-08,754581.9300000003,754581.9300000003,0,0.0,0.0
2022-07-11,754581.9300000003,754581.9300000003,0,0.0,0.0
2022-07-12,754581.9300000003,754581.9300000003,0,0.0,0.0
2022-07-13,758980.202275646,754581.9300000003,3,226637.0976972985,0.29860739057194613
2022-07-14,752421.6245316389,754581.9300000003,3,226637.0976972985,0.30121023945633363
2022-07-15,759054.0707354429,755494.5500000003,5,377951.41082888836,0.4979242262184215
2022-07-18,751786.9794077757,755494.5500000003,5,377951.41082888836,0.5027373726618964
2022-07-19,755175.3016595385,753347.1800000003,1,75317.43992874907,0.0997350413383951
2022-07-20,749569.310978844,753347.1800000003,1,75317.43992874907,0.10048095463032483
2022-07-21,749413.0668520968,749468.0600000003,1,74927.1921377716,0.09998116586424445
2022-07-22,749164.8168520968,749468.0600000003,1,74927.1921377716,0.10001429652370346
2022-07-25,744206.7935288661,749420.8600000003,3,223432.456871067,0.3002289938950961
2022-07-26,739661.6463424439,749420.8600000003,5,371450.9120866641,0.5021903108312474
2022-07-27,744032.8793776955,740935.5100000004,5,370317.2390607967,0.4977162291141323
2022-07-28,744712.2489114535,741168.0900000003,3,222298.78384519956,0.29850292400874817
2022-07-29,743918.9400000003,743918.9400000003,0,0.0,0.0
2022-08-01,743918.9400000003,743918.9400000003,0,0.0,0.0
2022-08-02,743918.9400000003,743918.9400000003,0,0.0,0.0
2022-08-03,743918.9400000003,743918.9400000003,0,0.0,0.0
2022-08-04,744347.8140796383,743918.9400000003,1,74386.33513743346,0.0999349144719525
2022-08-05,750655.4930397663,743918.9400000003,3,223815.14275338582,0.29815960161305194
2022-08-08,754240.3323266953,745707.4800000003,3,224754.88805645317,0.2979884241447615
2022-08-09,758189.6931813258,756664.0300000004,1,75326.08044050078,0.09934991350836798
2022-08-10,762223.7877974095,760121.8300000004,1,75902.16283857726,0.09957989248526472
2022-08-11,763307.468751389,760121.8300000004,1,75902.16283857726,0.09943851717151057
2022-08-12,763556.2800000004,763556.2800000004,0,0.0,0.0
2022-08-15,763556.2800000004,763556.2800000004,0,0.0,0.0
2022-08-16,763556.2800000004,763556.2800000004,0,0.0,0.0
2022-08-17,763556.2800000004,763556.2800000004,0,0.0,0.0
2022-08-18,769876.0092252305,763556.2800000004,1,76348.57199470996,0.09916995864248818
2022-08-19,770115.8570903352,763556.2800000004,1,76348.57199470996,0.09913907276649442
2022-08-22,763187.9906259921,768435.5500000004,7,537247.4492045975,0.703951655166808
2022-08-23,767417.0826843248,768435.5500000004,14,1073355.8261318225,1.3986603248097682
2022-08-24,783788.5883426088,766863.6000000004,11,848349.7176844227,1.0823705911288326
2022-08-25,800052.6060099407,793304.0700000005,6,471810.50716289604,0.5897243551470086
2022-08-26,791036.7389488771,798008.8100000005,3,239144.13528871798,0.30231735583670954
2022-08-29,792397.4312046272,793547.7400000005,2,158222.0149301694,0.19967507301182863
2022-08-30,794032.4341737981,787479.1600000005,1,78647.04604714965,0.09904764926760581
2022-08-31,818294.4766621673,794222.0800000005,9,721887.8518672673,0.8821859030649408
2022-09-01,788008.5566593178,794222.0800000005,11,879793.5101895139,1.1164771026336429
2022-09-02,782926.2715726868,806273.2500000005,18,1419527.652643584,1.8131051469152226
2022-09-06,782782.9517136279,797601.8300000008,12,945900.3315467946,1.2083813648164905
2022-09-07,824539.0552405415,797601.8300000008,16,1274333.1863309618,1.5455097951172276
2022-09-08,811355.8005214438,804365.5800000007,5,409688.96261263586,0.5049436540039969
2022-09-09,822478.2839903183,819206.2800000007,3,244876.46910080794,0.2977300116822178
2022-09-12,827127.2308083498,820438.6000000007,2,163620.3612723393,0.19781764543337962
2022-09-13,822711.3300000008,822711.3300000008,0,0.0,0.0
2022-09-14,822711.3300000008,822711.3300000008,0,0.0,0.0
2022-09-15,822711.3300000008,822711.3300000008,0,0.0,0.0
2022-09-16,821618.7510728547,822711.3300000008,2,164616.6461535559,0.2003564864343742
2022-09-19,836254.7471028152,822711.3300000008,5,413310.8760719292,0.4942403944537654
2022-09-20,830855.2026448942,823672.4500000008,4,332098.35125220125,0.3997066518871392
2022-09-21,828370.3886224604,835611.1000000008,6,498864.829933563,0.6022243633830887
2022-09-22,785022.9910206839,833105.1500000008,12,975314.7455815277,1.2424027789471837
2022-09-23,727919.6170507546,804323.6600000007,17,1297806.9048872457,1.7828986532131823
2022-09-26,686786.0832507131,735185.2600000007,20,1430412.5344162574,2.082762841736386
2022-09-27,708521.3208344363,715054.0200000006,13,905136.7115356737,1.2775010220859415
2022-09-28,722785.2224257566,713376.6600000007,7,499981.57270035805,0.6917429371651485
