strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rs90_100_rsi2_next_open_hold_3d_close,DJT,2024-05-21,48.1848,,,2024-05-24,45.8054,hold_3d_close,2075,99983.5,-4937.25,-0.049381,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=4.98; raw_entry=open:48.1800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=48.3800; filter_ma50=43.3610; filter_avg_value_10=218.38; filter_adr20=10.76; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,IBRX,2024-05-21,6.9707,,,2024-05-24,6.5193,hold_3d_close,14226,99165.13,-6420.89,-0.064749,,,,3,97.0,entry=rsi2_next_open; setup_rsi2=2.34; raw_entry=open:6.9700; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-20 00:00:00; filter_close=7.0400; filter_ma50=6.3470; filter_avg_value_10=46.58; filter_adr20=15.75; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,JMIA,2024-05-23,5.7506,,,2024-05-28,6.2394,hold_3d_close,17163,98697.12,8389.29,0.085,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=4.96; raw_entry=open:5.7500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=5.7000; filter_ma50=5.3830; filter_avg_value_10=27.41; filter_adr20=9.64; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,MOD,2024-05-23,98.8199,,,2024-05-28,100.33,hold_3d_close,997,98523.42,1505.55,0.015281,,,,3,93.0,entry=rsi2_next_open; setup_rsi2=3.88; raw_entry=open:98.8100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=96.7500; filter_ma50=95.3636; filter_avg_value_10=99.40; filter_adr20=5.39; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,IAG,2024-05-23,4.0304,,,2024-05-28,4.0896,hold_3d_close,24398,98333.78,1444.07,0.014685,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=4.59; raw_entry=open:4.0300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=4.0100; filter_ma50=3.6524; filter_avg_value_10=49.50; filter_adr20=4.05; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,WING,2024-05-23,377.4063,,,2024-05-28,385.8176,hold_3d_close,259,97748.23,2178.54,0.022287,,,,3,90.0,entry=rsi2_next_open; setup_rsi2=4.90; raw_entry=open:377.3686; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-22 00:00:00; filter_close=374.9026; filter_ma50=365.1281; filter_avg_value_10=130.91; filter_adr20=3.12; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,TME,2024-05-24,13.7353,,,2024-05-29,14.1042,hold_3d_close,7284,100048.05,2687.21,0.026859,,,,3,95.0,entry=rsi2_next_open; setup_rsi2=4.44; raw_entry=open:13.7339; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=13.8197; filter_ma50=11.8426; filter_avg_value_10=130.25; filter_adr20=3.31; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,TWST,2024-05-24,41.9042,,,2024-05-29,40.6859,hold_3d_close,2394,100318.63,-2916.52,-0.029073,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=2.26; raw_entry=open:41.9000; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=41.3600; filter_ma50=35.9376; filter_avg_value_10=44.25; filter_adr20=6.23; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,GGAL,2024-05-24,27.3806,,,2024-05-29,30.0774,hold_3d_close,3666,100377.27,9886.55,0.098494,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=2.53; raw_entry=open:27.3779; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-23 00:00:00; filter_close=27.2810; filter_ma50=26.4373; filter_avg_value_10=28.56; filter_adr20=5.48; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,CVNA,2024-05-28,22.1522,,,2024-05-31,19.994,hold_3d_close,4573,101302.08,-9869.51,-0.097427,,,,3,98.0,entry=rsi2_next_open; setup_rsi2=4.56; raw_entry=open:22.1500; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-24 00:00:00; filter_close=21.8300; filter_ma50=18.6353; filter_avg_value_10=368.62; filter_adr20=5.66; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,PRCT,2024-05-29,63.7164,,,2024-06-03,65.5434,hold_3d_close,1579,100608.15,2884.96,0.028675,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=4.37; raw_entry=open:63.7100; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-28 00:00:00; filter_close=64.4800; filter_ma50=55.6316; filter_avg_value_10=41.40; filter_adr20=5.47; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,KD,2024-05-30,26.5827,,,2024-06-04,26.0474,hold_3d_close,3780,100482.45,-2023.3,-0.020136,,,,3,94.0,entry=rsi2_next_open; setup_rsi2=1.90; raw_entry=open:26.5800; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=26.7100; filter_ma50=22.8092; filter_avg_value_10=47.62; filter_adr20=3.78; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,EMBJ,2024-05-30,28.3703,,,2024-06-04,28.5744,hold_3d_close,3543,100516.02,723.0,0.007193,,,,3,92.0,entry=rsi2_next_open; setup_rsi2=2.24; raw_entry=open:28.3675; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=28.0878; filter_ma50=26.5070; filter_avg_value_10=49.43; filter_adr20=3.42; rs_bucket=rs90_100
rs90_100_rsi2_next_open_hold_3d_close,SE,2024-05-30,67.2367,,,2024-06-04,70.073,hold_3d_close,1493,100384.43,4234.55,0.042183,,,,3,91.0,entry=rsi2_next_open; setup_rsi2=4.11; raw_entry=open:67.2300; slippage_bps=1.0; initial_stop=disabled; decision_date=2024-05-29 00:00:00; filter_close=68.0700; filter_ma50=61.3886; filter_avg_value_10=402.44; filter_adr20=3.62; rs_bucket=rs90_100
