date,open_positions,gross_exposure,exposure_pct
2022-05-24,1,49933.92428736604,0.04996286652969339
2022-05-25,2,99886.76064180734,0.09989675245248207
2022-05-26,2,99886.76064180734,0.09963491900710292
2022-05-27,1,49952.8363544413,0.049772540174864
2022-05-31,0,0.0,0.0
2022-06-01,0,0.0,0.0
2022-06-02,0,0.0,0.0
2022-06-03,0,0.0,0.0
2022-06-06,0,0.0,0.0
2022-06-07,0,0.0,0.0
2022-06-08,0,0.0,0.0
2022-06-09,0,0.0,0.0
2022-06-10,3,150555.35533208968,0.14967691095821936
2022-06-13,11,548089.1419094518,0.5567251555840834
2022-06-14,32,1560538.1186731746,1.6302715880423764
2022-06-15,34,1645872.6672514472,1.746027985873641
2022-06-16,32,1501550.5764919685,1.7876941371436403
2022-06-17,16,679389.5795864775,0.9036296632145878
2022-06-21,11,424397.7670657685,0.5412351743678675
2022-06-22,6,234109.7872075369,0.30870639625083773
2022-06-23,6,234109.7872075369,0.3132109313845291
2022-06-24,1,37727.27235,0.049787527825726374
2022-06-27,1,37727.27235,0.04989081016866596
2022-06-28,1,37727.27235,0.04999947124286445
2022-06-29,1,37669.99768694916,0.05000381314840452
2022-06-30,1,37669.99768694916,0.05008647741191198
2022-07-01,5,187482.77996758927,0.24825023869284985
2022-07-05,4,149812.7822806401,0.19691961746561762
2022-07-06,0,0.0,0.0
2022-07-07,0,0.0,0.0
2022-07-08,0,0.0,0.0
2022-07-11,0,0.0,0.0
2022-07-12,0,0.0,0.0
2022-07-13,3,113937.56614459348,0.1495553292830146
2022-07-14,3,113937.56614459348,0.1502068075771332
2022-07-15,7,265777.79935399845,0.3485008895377345
2022-07-18,4,151840.233209405,0.20035008039905455
2022-07-19,5,189844.63212335535,0.249442992651295
2022-07-20,1,38004.39891395034,0.0502115429534505
2022-07-21,2,75773.55535001143,0.09997357551507541
2022-07-22,1,37769.156436061094,0.04983514422509977
2022-07-25,3,113379.18598612252,0.15006881316576037
2022-07-26,4,150950.8052334587,0.20039251835688904
2022-07-27,7,264369.3244867737,0.34851241395737353
2022-07-28,5,188759.29493671225,0.2495476017564144
2022-07-29,3,113418.51925331498,0.1499093515681733
2022-08-01,0,0.0,0.0
2022-08-02,0,0.0,0.0
2022-08-03,0,0.0,0.0
2022-08-04,1,37634.34425951091,0.04994752278369676
2022-08-05,3,112996.16345468382,0.14932028984349768
2022-08-08,4,150790.01991472495,0.19906840561892714
2022-08-09,3,113155.67565521406,0.14855808947149376
2022-08-10,2,76074.7023961175,0.09921428903031204
2022-08-11,1,38280.84593607635,0.04987238357624905
2022-08-12,1,38280.84593607635,0.049878877993686066
2022-08-15,0,0.0,0.0
2022-08-16,0,0.0,0.0
2022-08-17,0,0.0,0.0
2022-08-18,1,38383.25778851938,0.04978324873065072
2022-08-19,1,38383.25778851938,0.04977545717672818
2022-08-22,8,307377.20682309865,0.4002863827078833
2022-08-23,14,537556.3562357832,0.6982491250819595
2022-08-24,15,576749.3061791193,0.7360988514472014
2022-08-25,8,307755.35714453994,0.3874587728289954
2022-08-26,1,39192.94994333604,0.05011620632864606
2022-08-29,1,39016.84008706169,0.049763852729501165
2022-08-30,1,39016.84008706169,0.049730105130889435
2022-08-31,10,394155.1762923777,0.49396977019944055
2022-09-01,11,433718.4236338725,0.5523183848966606
2022-09-02,26,1022115.5018689889,1.3061153813331465
2022-09-06,21,820567.8643976169,1.061071398840087
2022-09-07,12,469829.66001012153,0.5903078289575808
2022-09-08,13,509985.386621177,0.6352296653022776
2022-09-09,8,318474.8148353017,0.39031591623647754
2022-09-12,2,80815.94098768095,0.09838603227257312
2022-09-13,1,40660.21437662544,0.04962765498958105
2022-09-14,0,0.0,0.0
2022-09-15,0,0.0,0.0
2022-09-16,2,82122.01618981943,0.10005393589867025
2022-09-19,5,205601.79653492486,0.24825903351556802
2022-09-20,6,247039.86019214912,0.29863881148982213
2022-09-21,9,370514.6434681741,0.4509796273689813
2022-09-22,13,527896.3202069155,0.6636765092028792
2022-09-23,20,793122.5916005236,1.0393357291435275
2022-09-26,26,993182.4135033776,1.351688175010936
2022-09-27,22,824393.498228968,1.101180729797173
2022-09-28,17,634230.5309256563,0.8138472190225233
2022-09-29,6,228573.90955695792,0.2996076031134632
