date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,999796.58,999796.58,0,0.0,0.0
2024-05-22,1000277.7444434045,999796.58,2,19959.5056758811,0.0199539635733747
2024-05-23,999070.1826868303,999338.73,4,39752.878210500974,0.03978987552565359
2024-05-24,1002382.3134697136,999420.94,8,79750.56800710829,0.07956102869677968
2024-05-28,1003301.7552878986,1000744.36,5,50000.01962909355,0.049835475085704385
2024-05-29,1003208.034327843,1001852.5199999999,3,30015.38130037074,0.02991939884181776
2024-05-30,1004164.7665655967,1004052.73,2,20040.803575222897,0.01995768447818144
2024-05-31,1004282.1699409332,1004147.2799999999,3,30094.059214158937,0.029965740819563606
2024-06-03,1002749.9854257072,1002893.2199999999,4,40109.378386472294,0.03999938067258537
2024-06-04,1002216.6645729553,1002455.0999999996,2,20059.72546419945,0.02001535812892006
2024-06-05,1005595.934994219,1002455.0999999996,14,140273.5398655905,0.13949294640535406
2024-06-06,1004075.111205979,1002530.7499999997,13,130303.49181564234,0.12977464570268735
2024-06-07,999823.9522962491,999216.0099999995,7,70111.54363991534,0.07012388878951482
2024-06-10,1001088.5485472458,1000501.9799999995,5,50070.75574112197,0.05001631055892446
2024-06-11,1000436.1373391872,1000321.5299999996,5,49957.51284952543,0.04993573401136336
2024-06-12,1001626.3422838859,1001197.2399999995,5,49888.0866914478,0.04980708332579803
2024-06-13,1001362.7728833887,1000822.0299999994,2,19859.986624057005,0.01983295880559937
2024-06-14,1000997.6035566065,1000822.0299999994,2,19859.986624057005,0.0198401939759828
2024-06-17,1000591.1788359247,1000373.7499999994,1,9908.951123181152,0.00990309662204808
2024-06-18,1000080.409598633,1000079.7499999994,2,19903.73027868576,0.019902129956404026
2024-06-20,1000204.879555898,999732.6899999995,5,49915.50048564348,0.049905275914877076
2024-06-21,1001928.4056375184,1000155.7499999994,8,79757.79505131996,0.0796042856980093
2024-06-24,1001042.4574234127,1000180.6199999993,9,89559.4779223508,0.0894662132042514
2024-06-25,1003619.1720525369,1001144.3199999993,13,129716.62234989008,0.12924884852946966
2024-06-26,1002002.4682902503,1001336.9899999992,7,69732.98503763355,0.0695936260083483
2024-06-27,1002299.1108208048,1001337.2499999992,6,59806.80961605343,0.05966962254119563
2024-06-28,1001542.1164924813,1001166.7599999992,4,39821.288656748846,0.0397599741448794
2024-07-01,1002712.6318346419,1000629.9499999991,6,59889.178069646456,0.05972716027329635
2024-07-02,1004221.0398750635,1003671.7699999992,4,39902.389999851795,0.03973466838019656
2024-07-03,1004252.2574816262,1003912.6399999992,2,20024.97235735454,0.019940181571083914
2024-07-05,1005252.4766266232,1003657.5399999992,2,20029.542972375108,0.01992488796405582
2024-07-08,1005283.9399999992,1005283.9399999992,0,0.0,0.0
2024-07-09,1005530.7341114732,1005183.5099999992,1,10046.066680991182,0.009990810166402606
2024-07-10,1005445.7244739061,1004984.6299999992,2,20013.06328099118,0.019904667943625606
2024-07-11,1005400.9443566219,1004848.6999999991,5,49979.02932501778,0.049710545435185015
2024-07-12,1005767.982324754,1004962.3699999993,5,49881.93030830197,0.049595862251454646
2024-07-15,1006743.5478510517,1005744.2399999993,3,29958.13767507061,0.02975746677395437
2024-07-16,1007761.8066881463,1007765.1699999993,1,10038.083419885254,0.009960769849845636
2024-07-17,1007205.2799999993,1007205.2799999993,0,0.0,0.0
2024-07-18,1006315.3799999993,1006315.3799999993,0,0.0,0.0
2024-07-19,1006141.2696510797,1006156.1299999993,1,10003.720425823973,0.0099426598705102
2024-07-22,1005383.2494203667,1005492.1899999992,1,10003.720425823973,0.00995015625294276
2024-07-23,1005546.8948493836,1005251.2299999993,1,10051.825356380461,0.009996376507021166
2024-07-24,1004908.6048150895,1005251.2299999993,1,10051.825356380461,0.010002725927727597
2024-07-25,1004383.7546168888,1004332.1799999994,2,20057.28545524645,0.019969743002162636
2024-07-26,1005270.0268263598,1004375.1699999993,3,30136.10277790289,0.02997811729555157
2024-07-29,1002672.2449922357,1003064.9299999994,1,10049.324656201172,0.010022541968616065
2024-07-30,1002172.1499999994,1002172.1499999994,0,0.0,0.0
2024-07-31,1002124.3587368139,1002092.6399999994,1,10013.321044755936,0.009992094252032563
2024-08-01,1001684.9060926375,1001926.7699999994,3,29955.56451275444,0.02990517709766119
2024-08-02,1000773.0940200343,1001462.8399999995,1,9960.795632064819,0.009953100949240163
2024-08-05,1000909.8942519679,1001462.8399999995,1,9960.795632064819,0.009951740600495352
2024-08-06,1003551.0375197178,1001462.8399999995,24,239026.10420948392,0.23818031696747413
2024-08-07,999461.754786613,1000544.2799999994,23,229071.55840125255,0.22919492147066672
2024-08-08,1004517.7020617336,1001198.0899999995,23,229108.40470004568,0.22807801617613066
2024-08-09,1004224.9703856981,1002520.4599999996,19,189157.34225063876,0.18836152040512205
2024-08-12,1002061.333685541,1001821.9399999996,16,159158.2430160425,0.15883083965595693
2024-08-13,1004838.0145829401,1003012.9599999996,12,119579.07268298962,0.11900333282337167
2024-08-14,1004403.3787267623,1003948.3099999996,10,99733.19292523013,0.0992959552283242
2024-08-15,1006019.8441113966,1006040.8799999997,5,49882.112132957314,0.049583626431362784
2024-08-16,1005917.5133414193,1006371.6999999996,4,39856.54285975225,0.039622078680545354
2024-08-19,1006616.4804727345,1006424.8199999996,1,9938.967022077031,0.009873638287155224
2024-08-20,1006506.8625528127,1006424.8199999996,1,9938.967022077031,0.009874713617817506
2024-08-21,1006666.407268694,1006424.8199999996,1,9938.967022077031,0.009873148592534861
2024-08-22,1006571.9829141408,1006424.8199999996,1,9938.967022077031,0.009874074771386531
2024-08-23,1007032.1999999996,1007032.1999999996,0,0.0,0.0
2024-08-26,1007032.1999999996,1007032.1999999996,0,0.0,0.0
2024-08-27,1007110.606742944,1007032.1999999996,1,9734.203059301757,0.009665475662879525
2024-08-28,1007003.4272702878,1006951.4799999996,1,9734.203059301757,0.009666504398786937
2024-08-29,1007105.0717458325,1006951.4799999996,2,19788.408254167174,0.019648802105488018
