date,equity,cash_realized,open_positions,gross_exposure,exposure_pct
2024-05-21,994683.7735319138,1000000.0,2,99749.36881780624,0.1002824932627755
2024-05-22,996062.8817491531,1000000.0,2,99749.36881780624,0.10014364619494671
2024-05-23,989717.0425591192,1000000.0,6,298042.608990697,0.3011392106778781
2024-05-24,1007839.3321927537,1002479.88,9,448827.0051470099,0.4453358693299834
2024-05-28,1012306.2355437451,1005406.52,8,400174.71513939096,0.3953099379304358
2024-05-29,1009278.9782661706,1011367.43,8,400895.07441520883,0.39720937723671024
2024-05-30,1017654.9778268244,1023316.22,9,453406.1344852255,0.4455401333106653
2024-05-31,1017051.2876611045,1025444.01,9,453844.6830634878,0.4462357882729658
2024-06-03,1014343.5002617647,1027965.46,9,454479.982784252,0.4480533297319571
2024-06-04,1005210.7240318704,1030496.37,11,554060.3938571715,0.551188303716908
2024-06-05,1032954.8544665212,1030496.37,18,914109.6548238117,0.8849463757986905
2024-06-06,1020445.021958329,1027710.51,19,965236.92645243,0.9458980206499028
2024-06-07,996149.2971571266,1027710.51,20,1015015.3568913259,1.0189389881497086
2024-06-10,1014558.8426648298,1035947.4,17,861321.7331385931,0.8489618314066972
2024-06-11,1003189.0115557829,1035947.4,18,911453.0547938666,0.9085556602941167
2024-06-12,1016783.6810383096,1040980.46,16,810894.485505613,0.7975093430665129
2024-06-13,1016244.724232454,1052352.73,13,660161.7685474971,0.6496090486925794
2024-06-14,1007519.2506115624,1052352.73,14,710524.2779011348,0.7052215404021788
2024-06-17,1004674.709485788,1052352.73,16,810963.2568134883,0.8071898786310198
2024-06-18,1006958.6848109815,1043622.0700000001,17,862405.5866646387,0.8564458499372523
2024-06-20,1009296.7433686607,1047599.54,17,860414.3897602588,0.852489018134065
2024-06-21,1019310.9760483996,1050410.18,21,1063881.7811062366,1.043726405488761
2024-06-24,1020700.0519291715,1055747.8699999999,18,910452.2743448609,0.8919880748747518
2024-06-25,1039950.4223075674,1062156.5799999998,20,1017766.6530518532,0.9786684357447635
2024-06-26,1027393.7935601042,1068607.3299999998,20,1017369.9726204872,0.9902434480308834
2024-06-27,1035135.1319398285,1068180.63,17,866877.7315086768,0.8374536857657997
2024-06-28,1029391.6878266141,1068050.05,16,818618.560384579,0.795244968524035
2024-07-01,1035528.9893227003,1059510.61,17,871469.2841394618,0.8415691816696087
2024-07-02,1049581.1236426542,1079511.79,14,717338.2343238071,0.6834519201662356
2024-07-03,1060092.1515033147,1089521.81,12,616631.6578467563,0.5816774107536897
2024-07-05,1072273.614795799,1088020.44,12,622262.4505818561,0.5803205842198758
2024-07-08,1072341.4699758526,1099321.47,10,516887.67793018377,0.48201780160737717
2024-07-09,1066902.349023834,1099321.47,12,623605.0324923554,0.584500571268706
2024-07-10,1066066.595973297,1102630.75,13,676855.4129626313,0.634909128115656
2024-07-11,1086308.8752171432,1097581.7699999998,10,532464.260490254,0.4901591735442825
2024-07-12,1083724.4455276595,1100088.6899999997,12,640600.1060598646,0.5911097684503739
2024-07-15,1095230.474953929,1103737.3699999996,10,532956.3467520033,0.4866157023017664
2024-07-16,1102684.7470502243,1116497.3199999998,9,480903.34730280284,0.4361204311470348
2024-07-17,1085235.4597394334,1116658.1199999999,8,427598.14484918956,0.3940141662454123
2024-07-18,1077988.6208564239,1116658.1199999999,11,589377.0978641266,0.5467377729793541
2024-07-19,1066291.9087401824,1116658.1199999999,12,642751.717100119,0.6027915168741422
2024-07-22,1064997.582117957,1113298.3199999998,12,642715.286363984,0.6034899019073999
2024-07-23,1074786.5598673718,1107618.0799999998,10,535953.186470595,0.4986601121405271
2024-07-24,1054089.1202225583,1107618.0799999998,10,535953.186470595,0.5084514925620661
2024-07-25,1040960.0950415743,1107618.0799999998,14,744254.8149287853,0.714969592469403
2024-07-26,1052811.4472325074,1110369.7899999998,14,746337.0777814541,0.7088990908517637
2024-07-29,1033873.8824641932,1110369.7899999998,14,746337.0777814541,0.7218840619153589
2024-07-30,1006102.8080070246,1110369.7899999998,15,796664.1661298427,0.7918317688705631
2024-07-31,1021937.440511331,1106873.95,15,795436.5553556352,0.7783613006268123
2024-08-01,989853.4829493912,1114443.59,15,789397.2719251626,0.7974890077398683
2024-08-02,957726.3313671502,1114443.59,17,885583.2719251626,0.9246725739084529
2024-08-05,971181.2417846306,1114443.59,29,1459853.8228361884,1.5031734140103232
2024-08-06,978325.3652783016,1123653.5,43,2141629.5084304227,2.1890769517370114
