date,open_positions,gross_exposure,exposure_pct
2024-05-21,2,199148.63052027102,0.20129167342671286
2024-05-22,2,198116.76289375278,0.19965408773602547
2024-05-23,6,591429.0927938721,0.6038031968843075
2024-05-24,8,792841.785992903,0.7865889512916027
2024-05-28,9,895029.9520280072,0.8806565448637885
2024-05-29,6,599434.9549231759,0.5892292578015428
2024-05-30,9,909732.4132322725,0.8800360870656156
2024-05-31,6,610236.622239568,0.5976790469163079
2024-06-03,7,712265.856237733,0.7004219592907167
2024-06-04,9,913432.031129351,0.9063880285316602
2024-06-05,16,1647884.251857852,1.5622182143037335
2024-06-06,13,1340597.621233532,1.2887596408327675
2024-06-07,6,617450.3332893742,0.6175097051665367
2024-06-10,4,413831.6250492305,0.41242493437527633
2024-06-11,5,513660.61024545855,0.5136930311192645
2024-06-12,6,614784.6466867916,0.6067922715364044
2024-06-13,7,716643.8315867916,0.7056109411093916
2024-06-14,4,404152.76699424285,0.4047350521504671
2024-06-17,5,498788.89572606544,0.5077681031308177
2024-06-18,8,791926.2720538578,0.8058377017053308
2024-06-20,10,980175.3760725575,1.0117429115096548
2024-06-21,13,1276186.482913307,1.2997984033339958
2024-06-24,13,1275518.0003727316,1.3125556426859308
2024-06-25,15,1472969.7947200616,1.4957677160084497
2024-06-26,12,1174552.1443963966,1.2139338264054738
2024-06-27,12,1173747.9215295967,1.2071232493793644
2024-06-28,9,876942.9227127258,0.9097483840179059
2024-07-01,9,877180.5340397656,0.8876968404122983
2024-07-02,6,591333.9170592909,0.5842721062955543
2024-07-03,6,595184.383854579,0.5878539471605261
2024-07-05,6,603947.6491334762,0.5933797026179668
2024-07-08,5,506709.2447820715,0.4976023928726112
2024-07-09,7,710333.8767655694,0.6982884941654803
2024-07-10,7,712154.952340436,0.6976387514033916
2024-07-11,9,918266.8396539381,0.8916108715664751
2024-07-12,9,921115.6523311224,0.8930044516074302
2024-07-15,9,921115.6523311224,0.8714535493922062
2024-07-16,9,931376.4842924029,0.8675575246250631
2024-07-17,4,411303.75107174605,0.39383281150965066
2024-07-18,5,515436.2547434762,0.5000283956099328
2024-07-19,3,307668.056277883,0.3015097366548943
2024-07-22,3,307871.91915328207,0.3025814868439438
2024-07-23,3,307530.14412684087,0.2994137589201392
2024-07-24,0,0.0,0.0
2024-07-25,4,403723.12963126885,0.4005945025423005
2024-07-26,6,610400.8361793169,0.6017183697280524
2024-07-29,4,404196.4799272064,0.41411123744545114
2024-07-30,3,293387.36692505307,0.3059667870969542
2024-07-31,5,483285.98881102225,0.5000270278528157
2024-08-01,5,479982.06546933536,0.500290909165356
2024-08-02,4,375717.96573321836,0.39985415024983345
2024-08-05,16,1539421.4032243497,1.540034275956528
2024-08-06,31,2995837.628851026,3.0657426122003404
2024-08-07,23,2214762.6204278856,2.3772738661499395
2024-08-08,20,1933271.518401565,1.9696778193975801
2024-08-09,20,1933271.518401565,1.8888273436105831
2024-08-12,18,1739931.1882963574,1.7272756408843941
