date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,999296.840801487,999223.76,1,9993.689616680145,0.010000721716146624
2025-08-04,1007942.5061546228,998887.76,14,140147.48047892598,0.13904312956658538
2025-08-05,1009909.1586834914,998276.62,14,140287.48225514352,0.1389109912004571
2025-08-06,1005498.1154888636,998152.77,14,140287.48225514352,0.1395203830759415
2025-08-07,1004785.4900117881,998152.77,15,150332.8125831312,0.14961682277215954
2025-08-08,1002263.0691639619,997383.59,13,130413.17253796518,0.13011870490923044
2025-08-11,999889.6431086008,996738.65,8,80210.80887284846,0.08021966166533895
2025-08-12,1000377.4252103082,998063.23,8,80207.94437518687,0.08017768329620678
2025-08-13,998919.9347349072,994132.0900000001,4,40104.36482524872,0.04014772699064374
2025-08-14,999651.7653149033,994132.0900000001,4,40104.36482524872,0.0401183354211507
2025-08-15,998149.7152610207,994667.29,3,30060.36496257782,0.030116088301159208
2025-08-18,998329.1542264175,994508.87,5,49965.60482978821,0.05004922937315741
2025-08-19,994519.7749737549,992497.88,2,19988.959378242493,0.02009910700747001
2025-08-20,994794.0049829991,993878.99,3,29730.607751070784,0.029886195134015588
2025-08-21,993583.7162292034,993384.67,9,88912.36926666913,0.0894865403029195
2025-08-22,996620.7564301235,993131.14,11,109054.95488182722,0.10942472768925662
2025-08-25,996535.8866453677,993022.47,10,98828.08918301282,0.09917163095420194
2025-08-26,997910.3370595485,993022.47,10,98828.08918301282,0.0990350390338881
2025-08-27,997864.1465650111,993022.47,10,98828.08918301282,0.09903962330264378
2025-08-28,999227.8159947902,993022.47,10,98828.08918301282,0.09890446162632456
2025-08-29,996228.3670648579,992855.5499999999,6,59197.67566432914,0.059421792855327484
2025-09-02,994445.2341241841,993138.4,1,9898.796353721225,0.009954088987554125
2025-09-03,994645.2989208036,993027.0800000001,3,29784.61701812705,0.029944963345670608
2025-09-04,995688.2243810277,992614.2100000001,3,29784.61701812705,0.029913597739536127
2025-09-05,995234.863202744,991950.0800000001,4,39734.617065810766,0.03992486450679757
2025-09-08,994892.8412811094,991950.0800000001,7,69462.76742973289,0.06981934591094924
2025-09-09,996090.0223810964,991568.93,6,59577.6175807949,0.059811479125529234
2025-09-10,997451.2127821737,991447.43,6,59571.067207717504,0.0597232891637446
2025-09-11,998266.7425715261,991432.8300000001,7,69550.70762863121,0.06967146621500103
2025-09-12,998963.9387855799,990746.8300000001,6,59589.82859282676,0.05965163133442925
2025-09-15,1000073.323224774,990450.1400000001,6,59611.81745376548,0.05960744684354236
2025-09-16,1000817.5029450748,990133.3500000001,8,79595.44950601137,0.07953043314269415
2025-09-17,1001569.1502228115,990014.0000000001,8,79607.62894555603,0.07948290832225247
2025-09-18,1002934.8826806778,992152.3400000002,6,59705.902858558446,0.05953118581235754
2025-09-19,1004853.5397002222,992149.0300000001,6,59745.68000276557,0.05945710259486123
