strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,PBI,2025-03-10,9.040935,8.992537,0.048398,2025-03-10,8.992537,same_day_stop_loss,1106,9999.27,-53.53,-0.005353,-1.0,-9.400122,1.800025,0,96.0,setup_rsi2=3.79; next_open_entry; avg_value_10=26.8898M; adr20=5.1504; close=8.8957; ma50=8.4738
rsi2,AXSM,2025-03-11,120.0,116.0,4.0,2025-03-12,119.405078,atr_trail_stop,83,9960.0,-49.38,-0.004958,-0.148731,-0.58375,0.627501,1,96.0,setup_rsi2=0.56; next_open_entry; avg_value_10=85.2044M; adr20=4.0216; close=119.5000; ma50=109.2319
rsi2,AHR,2025-03-11,27.230259,26.784654,0.445606,2025-03-12,27.610514,atr_trail_stop,367,9993.51,139.55,0.013964,0.853343,-0.065219,3.021724,1,93.0,setup_rsi2=2.57; next_open_entry; avg_value_10=72.8923M; adr20=3.7492; close=27.8405; ma50=27.6303
rsi2,GH,2025-03-11,36.580002,34.880001,1.700001,2025-03-13,42.580002,atr_trail_stop,273,9986.34,1638.0,0.164024,3.52941,-0.041179,4.952938,2,96.0,setup_rsi2=4.40; next_open_entry; avg_value_10=100.9666M; adr20=7.5259; close=42.6300; ma50=41.8228
rsi2,PBI,2025-03-11,8.818299,8.585984,0.232314,2025-03-13,9.060294,atr_trail_stop,1135,10008.77,274.66,0.027442,1.041673,-0.666669,2.041683,2,95.0,setup_rsi2=1.64; next_open_entry; avg_value_10=26.1506M; adr20=5.1225; close=8.8473; ma50=8.5091
rsi2,BABA,2025-03-26,131.310606,130.150218,1.160387,2025-03-26,130.150218,same_day_stop_loss,76,9979.61,-88.19,-0.008837,-1.0,-2.033893,0.957631,0,95.0,setup_rsi2=4.52; next_open_entry; avg_value_10=2667.1553M; adr20=3.5871; close=130.0421; ma50=116.6854
rsi2,PTGX,2025-03-26,51.09,50.720001,0.369999,2025-03-26,50.720001,same_day_stop_loss,196,10013.64,-72.52,-0.007242,-1.0,-4.567577,0.848649,0,95.0,setup_rsi2=3.11; next_open_entry; avg_value_10=72.0176M; adr20=6.2339; close=49.5600; ma50=42.0212
rsi2,EXK,2025-03-26,4.6,4.55,0.05,2025-03-26,4.55,same_day_stop_loss,2177,10014.2,-108.85,-0.01087,-1.0,-4.200025,1.200006,0,90.0,setup_rsi2=4.44; next_open_entry; avg_value_10=43.5311M; adr20=7.1050; close=4.4100; ma50=4.0366
rsi2,EMBJ,2025-03-27,48.314605,47.994973,0.319632,2025-03-27,47.994973,same_day_stop_loss,207,10001.12,-66.16,-0.006616,-1.0,-2.812503,1.687509,0,93.0,setup_rsi2=4.87; next_open_entry; avg_value_10=123.0463M; adr20=3.6465; close=47.4256; ma50=45.5076
rsi2,BABA,2025-03-27,131.231928,128.950502,2.281426,2025-03-28,131.281105,atr_trail_stop,76,9973.63,3.74,0.000375,0.021555,-0.883625,1.868548,1,95.0,setup_rsi2=3.53; next_open_entry; avg_value_10=2610.6114M; adr20=3.6158; close=133.3757; ma50=117.7465
rsi2,EXK,2025-03-27,4.53,4.39,0.14,2025-03-28,4.39,stop_loss,2211,10015.83,-309.54,-0.030905,-1.0,-1.928567,0.642853,1,91.0,setup_rsi2=1.40; next_open_entry; avg_value_10=40.8580M; adr20=6.9358; close=4.5600; ma50=4.0562
rsi2,XPEV,2025-03-28,19.809999,19.799999,0.01,2025-03-28,19.799999,same_day_stop_loss,505,10004.05,-5.05,-0.000505,-1.0,-37.999046,6.0,0,96.0,setup_rsi2=2.48; next_open_entry; avg_value_10=280.6918M; adr20=4.8506; close=19.7000; ma50=18.9970
rsi2,PTGX,2025-03-28,49.470001,49.330002,0.139999,2025-03-28,49.330002,same_day_stop_loss,202,9992.94,-28.28,-0.00283,-1.0,-4.821471,7.214305,0,95.0,setup_rsi2=1.11; next_open_entry; avg_value_10=64.1558M; adr20=6.1172; close=48.8800; ma50=42.4954
rsi2,CORT,2025-03-31,94.93,53.790001,41.139999,2025-04-01,113.775919,atr_trail_stop,105,9967.65,1978.82,0.198524,0.458092,-0.178658,0.544482,1,99.0,setup_rsi2=3.56; next_open_entry; avg_value_10=207.5012M; adr20=6.3676; close=114.2200; ma50=62.7144
rsi2,PTGX,2025-04-01,47.990002,47.088001,0.902,2025-04-01,47.088001,same_day_stop_loss,209,10029.91,-188.52,-0.018796,-1.0,-1.607539,0.764965,0,93.0,setup_rsi2=0.33; next_open_entry; avg_value_10=64.0635M; adr20=5.5402; close=46.8800; ma50=42.9330
rsi2,IDCC,2025-04-01,203.151338,201.096788,2.05455,2025-04-01,201.096788,same_day_stop_loss,49,9954.42,-100.67,-0.010113,-1.0,-1.168253,1.572101,0,92.0,setup_rsi2=4.75; next_open_entry; avg_value_10=89.7839M; adr20=3.6591; close=202.4204; ma50=202.3489
rsi2,XPEV,2025-03-31,20.219999,19.43,0.789999,2025-04-02,21.035176,atr_trail_stop,496,10029.12,404.33,0.040315,1.03187,-0.379746,1.848105,2,97.0,setup_rsi2=1.19; next_open_entry; avg_value_10=272.2959M; adr20=4.8975; close=20.7200; ma50=19.1340
rsi2,COMP,2025-04-01,8.69,8.509,0.181,2025-04-02,8.61,atr_trail_stop,1154,10028.26,-92.32,-0.009206,-0.441989,-0.662984,2.154701,1,96.0,setup_rsi2=2.50; next_open_entry; avg_value_10=63.2381M; adr20=5.1659; close=8.7200; ma50=8.3732
rsi2,TGTX,2025-04-01,39.34,36.41,2.93,2025-04-02,37.25,atr_trail_stop,255,10031.7,-532.95,-0.053127,-0.713311,-0.782252,0.921502,1,96.0,setup_rsi2=3.90; next_open_entry; avg_value_10=98.1018M; adr20=5.9672; close=37.7500; ma50=34.7110
rsi2,MP,2025-04-01,24.27,23.41,0.860001,2025-04-02,24.696852,atr_trail_stop,413,10023.51,176.29,0.017588,0.496338,-0.104651,1.418603,1,96.0,setup_rsi2=4.09; next_open_entry; avg_value_10=80.4134M; adr20=5.3344; close=25.1700; ma50=24.0612
rsi2,ARQT,2025-04-01,15.57,14.76,0.809999,2025-04-02,14.61,stop_loss,644,10027.08,-618.24,-0.061657,-1.185186,-1.308642,2.296299,1,95.0,setup_rsi2=3.89; next_open_entry; avg_value_10=36.6209M; adr20=7.4051; close=14.9800; ma50=14.0850
rsi2,OKTA,2025-04-01,104.800003,102.910004,1.889999,2025-04-02,102.910004,stop_loss,95,9956.0,-179.55,-0.018034,-1.0,-1.148152,1.126983,1,93.0,setup_rsi2=2.32; next_open_entry; avg_value_10=315.3173M; adr20=4.0474; close=104.6900; ma50=100.8602
rsi2,EMBJ,2025-04-01,45.168214,44.399095,0.769119,2025-04-02,45.577453,atr_trail_stop,222,10027.34,90.85,0.00906,0.532089,-0.337665,1.740259,1,92.0,setup_rsi2=0.98; next_open_entry; avg_value_10=112.2161M; adr20=3.4897; close=46.2869; ma50=45.9301
rsi2,PTGX,2025-04-02,46.68,46.540001,0.139999,2025-04-02,46.540001,same_day_stop_loss,214,9989.52,-29.96,-0.002999,-1.0,-2.107166,16.071499,0,94.0,setup_rsi2=0.09; next_open_entry; avg_value_10=64.2597M; adr20=5.5530; close=48.2000; ma50=43.1350
rsi2,QBTS,2025-04-02,7.27,7.2,0.07,2025-04-03,6.79,stop_loss,1378,10018.06,-661.44,-0.066025,-6.857126,-7.428553,7.14284,1,99.0,setup_rsi2=4.89; next_open_entry; avg_value_10=589.2220M; adr20=15.3117; close=7.3400; ma50=6.7142
rsi2,XERS,2025-04-02,5.04,4.96,0.08,2025-04-03,4.95,stop_loss,1988,10019.52,-178.92,-0.017857,-1.125003,-2.5,2.0,1,98.0,setup_rsi2=0.98; next_open_entry; avg_value_10=25.2665M; adr20=7.0345; close=5.1500; ma50=4.2446
rsi2,COMP,2025-04-02,8.61,8.57,0.04,2025-04-03,8.57,stop_loss,1164,10022.04,-46.56,-0.004646,-1.0,-5.624991,11.750018,1,96.0,setup_rsi2=2.42; next_open_entry; avg_value_10=63.6853M; adr20=5.3044; close=8.9800; ma50=8.4178
rsi2,GRPN,2025-04-08,17.6,15.84,1.76,2025-04-09,16.73,atr_trail_stop,568,9996.8,-494.16,-0.049432,-0.494319,-0.886363,0.363636,1,98.0,setup_rsi2=1.70; next_open_entry; avg_value_10=26.4080M; adr20=7.1609; close=16.8000; ma50=13.6878
rsi2,GRPN,2025-04-09,16.73,16.49,0.24,2025-04-09,16.49,same_day_stop_loss,598,10004.54,-143.52,-0.014345,-1.0,-2.874997,6.291674,0,98.0,setup_rsi2=1.70; next_open_entry; avg_value_10=26.8288M; adr20=6.9989; close=17.6000; ma50=13.8272
rsi2,ROOT,2025-04-09,108.949997,106.669998,2.279999,2025-04-09,106.669998,same_day_stop_loss,91,9914.45,-207.48,-0.020927,-1.0,-1.719298,9.166676,0,97.0,setup_rsi2=2.56; next_open_entry; avg_value_10=99.3855M; adr20=10.4581; close=128.8600; ma50=126.6847
rsi2,CIB,2025-04-09,34.667202,34.550902,0.1163,2025-04-09,34.550902,same_day_stop_loss,288,9984.15,-33.49,-0.003355,-1.0,-2.750019,28.500025,0,96.0,setup_rsi2=4.79; next_open_entry; avg_value_10=27.0610M; adr20=3.5827; close=37.7782; ma50=34.2563
rsi2,AHR,2025-04-09,26.273981,26.137241,0.13674,2025-04-09,26.137241,same_day_stop_loss,381,10010.39,-52.1,-0.005204,-1.0,-3.000044,17.071686,0,94.0,setup_rsi2=1.64; next_open_entry; avg_value_10=70.8669M; adr20=4.0083; close=28.4130; ma50=28.2448
rsi2,PAYC,2025-04-09,190.183997,190.000487,0.183511,2025-04-09,190.000487,same_day_stop_loss,52,9889.57,-9.54,-0.000965,-1.0,-2.972949,146.37639,0,91.0,setup_rsi2=1.01; next_open_entry; avg_value_10=163.3037M; adr20=4.5220; close=216.7381; ma50=210.4230
