date,equity,cash_realized,open_positions,exposure
2024-04-29,1000000.0,1000000.0,0,0.0
2024-04-30,1000000.0,1000000.0,0,0.0
2024-05-01,1000000.0,1000000.0,0,0.0
2024-05-02,1000000.0,1000000.0,0,0.0
2024-05-03,1000000.0,1000000.0,0,0.0
2024-05-06,1000000.0,1000000.0,0,0.0
2024-05-07,1000000.0,1000000.0,0,0.0
2024-05-08,1000000.0,1000000.0,0,0.0
2024-05-09,1000000.0,1000000.0,0,0.0
2024-05-10,1000000.0,1000000.0,0,0.0
2024-05-13,1000000.0,1000000.0,0,0.0
2024-05-14,1000000.0,1000000.0,0,0.0
2024-05-15,1000000.0,1000000.0,0,0.0
2024-05-16,1000000.0,1000000.0,0,0.0
2024-05-17,1000000.0,1000000.0,0,0.0
2024-05-20,1000000.0,1000000.0,0,0.0
2024-05-21,1000000.0,1000000.0,0,0.0
2024-05-22,1000000.0,1000000.0,0,0.0
2024-05-23,1000000.0,1000000.0,0,0.0
2024-05-24,1000000.0,1000000.0,0,0.0
2024-05-28,1000000.0,1000000.0,0,0.0
2024-05-29,1000000.0,1000000.0,0,0.0
2024-05-30,1000000.0,1000000.0,0,0.0
2024-05-31,1000000.0,1000000.0,0,0.0
2024-06-03,1000000.0,1000000.0,0,0.0
2024-06-04,1000000.0,1000000.0,0,0.0
2024-06-05,1000000.0,1000000.0,0,0.0
2024-06-06,1000000.0,1000000.0,0,0.0
2024-06-07,1000000.0,1000000.0,0,0.0
2024-06-10,1000000.0,1000000.0,0,0.0
2024-06-11,1000000.0,1000000.0,0,0.0
2024-06-12,1000000.0,1000000.0,0,0.0
2024-06-13,1000000.0,1000000.0,0,0.0
2024-06-14,1000000.0,1000000.0,0,0.0
2024-06-17,1000000.0,1000000.0,0,0.0
2024-06-18,1000000.0,1000000.0,0,0.0
2024-06-20,1000000.0,1000000.0,0,0.0
2024-06-21,1000000.0,1000000.0,0,0.0
2024-06-24,1000000.0,1000000.0,0,0.0
2024-06-25,1000000.0,1000000.0,0,0.0
2024-06-26,1000000.0,1000000.0,0,0.0
2024-06-27,1000000.0,1000000.0,0,0.0
2024-06-28,1000000.0,1000000.0,0,0.0
2024-07-01,1000000.0,1000000.0,0,0.0
2024-07-02,1000000.0,1000000.0,0,0.0
2024-07-03,1000000.0,1000000.0,0,0.0
2024-07-05,1000000.0,1000000.0,0,0.0
2024-07-08,1000000.0,1000000.0,0,0.0
2024-07-09,1000000.0,1000000.0,0,0.0
2024-07-10,1000000.0,1000000.0,0,0.0
2024-07-11,1000000.0,1000000.0,1,9996.0
2024-07-12,1000210.7994346619,999048.0,1,9986.400260925293
2024-07-15,1001362.1996955872,999048.0,1,9986.400260925293
2024-07-16,1001276.6999130249,999048.0,1,9986.400260925293
2024-07-17,1004985.750442028,999048.0,2,19995.150260925293
2024-07-18,1003011.7147925758,998986.09,2,19995.150260925293
2024-07-19,1003956.880186882,998986.09,3,29997.870414733887
2024-07-22,1004273.1995647812,998986.09,3,29997.870414733887
2024-07-23,1003426.8394828414,999465.3099999999,2,20042.670249938965
2024-07-24,1002455.8601785278,999465.3099999999,2,20042.670249938965
2024-07-25,1001993.09,999049.34,1,10008.75
2024-07-26,999492.0804761314,999049.34,1,10008.75
2024-07-29,1001357.240044918,999049.34,1,10008.75
2024-07-30,1003309.9098671341,999049.34,2,20039.790398597717
2024-07-31,1003480.39,998770.39,1,10008.75
2024-08-01,997939.03,997939.03,0,0.0
2024-08-02,998584.5989954317,997939.03,2,19964.397939010887
2024-08-05,998311.1998629856,997148.28,2,19944.15044260025
2024-08-06,1000277.8927963191,996456.13,21,209537.29419168172
2024-08-07,995164.3142507955,994560.53,21,209383.13136214053
2024-08-08,1001860.0921142789,993874.01,21,209450.9017464522
2024-08-09,1001428.0395144435,993647.17,21,209522.35695531173
2024-08-12,999286.4511372496,992477.5800000001,17,169617.53487123252
2024-08-13,1002748.071375623,990985.2500000001,15,149630.4635114526
2024-08-14,1000541.4666662362,990985.2500000001,15,149630.4635114526
2024-08-15,1004563.1627457576,990806.4200000002,13,129674.74143254726
2024-08-16,1005134.2534812217,990975.2000000002,12,119660.46159350841
2024-08-19,1007708.5894532924,990975.2000000002,12,119660.46159350841
2024-08-20,1006694.0632003074,990975.2000000002,12,119660.46159350841
2024-08-21,1009685.7537401443,990975.2000000002,13,129755.16138422459
2024-08-22,1007640.4054387968,991723.1400000002,10,99692.63357877581
2024-08-23,1012174.8044314185,991720.4700000002,9,89721.10976885901
2024-08-26,1012588.8194048206,991720.4700000002,9,89721.10976885901
2024-08-27,1011490.503376607,993651.1200000001,8,79733.25940941916
2024-08-28,1011155.0779524127,993037.5200000001,9,89834.25975655661
2024-08-29,1012526.1264477053,993037.5200000001,9,89834.25975655661
2024-08-30,1014579.3377266207,993037.5200000001,9,89834.25975655661
2024-09-03,1014148.38802176,1003005.1100000001,6,59962.917679839156
2024-09-04,1011303.9757615854,1005175.2200000001,5,50101.39262274731
2024-09-05,1011036.9475378337,1005605.93,5,49872.18151688437
2024-09-06,1010834.7809581294,1005267.9500000001,6,59979.75145792822
2024-09-09,1010741.216066393,1006228.0800000001,9,90349.72286002254
2024-09-10,1010507.7213337788,1006231.9700000001,8,80408.4244295899
2024-09-11,1012430.7104335484,1006163.5000000001,8,80408.4244295899
