strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,MRX,2025-05-21,43.923867,43.294133,0.629734,2025-05-21,43.294133,same_day_stop_loss,227,9970.72,-142.95,-0.014337,-1.0,-2.078118,0.640624,0,93.0,setup_rsi2=3.72; next_open_entry; avg_value_10=50.1698M; adr20=4.3091; close=42.6644; ma50=39.0433
rsi2,MRX,2025-05-22,42.674233,42.615205,0.059028,2025-05-22,42.615205,same_day_stop_loss,234,9985.77,-13.81,-0.001383,-1.0,-9.501462,10.501639,0,93.0,setup_rsi2=0.96; next_open_entry; avg_value_10=45.9482M; adr20=4.2394; close=43.0678; ma50=39.2779
rsi2,NXT,2025-05-30,55.419998,55.330002,0.089996,2025-05-30,55.330002,same_day_stop_loss,180,9975.6,-16.2,-0.001624,-1.0,-4.666836,27.001102,0,93.0,setup_rsi2=4.85; next_open_entry; avg_value_10=173.4458M; adr20=5.0972; close=56.6900; ma50=45.9399
rsi2,LRN,2025-05-30,149.0,148.759995,0.240005,2025-05-30,148.759995,same_day_stop_loss,67,9983.0,-16.08,-0.001611,-1.0,-5.416555,12.166381,0,90.0,setup_rsi2=3.11; next_open_entry; avg_value_10=101.2696M; adr20=3.0951; close=151.3900; ma50=141.6860
rsi2,PRCH,2025-06-02,9.12,9.08,0.04,2025-06-02,9.08,same_day_stop_loss,1098,10013.76,-43.92,-0.004386,-1.0,-6.749994,6.750018,0,98.0,setup_rsi2=4.87; next_open_entry; avg_value_10=32.6444M; adr20=11.0863; close=9.3500; ma50=7.5522
rsi2,HSAI,2025-06-02,18.684999,18.35,0.334999,2025-06-03,18.98,pivot_low_break,535,9996.47,157.83,0.015788,0.8806,-0.552239,4.731359,1,95.0,setup_rsi2=2.76; next_open_entry; avg_value_10=106.5273M; adr20=8.3190; close=18.6500; ma50=16.6626
rsi2,ACHR,2025-06-03,10.2,9.68,0.52,2025-06-03,9.68,same_day_stop_loss,982,10016.4,-510.64,-0.05098,-1.0,-1.038462,0.461538,0,93.0,setup_rsi2=3.52; next_open_entry; avg_value_10=300.2588M; adr20=7.2583; close=9.7200; ma50=8.7898
rsi2,FRHC,2025-05-28,161.5,155.181,6.319,2025-06-04,155.181,stop_loss,62,10013.0,-391.78,-0.039127,-1.0,-1.561955,1.803925,7,91.0,setup_rsi2=2.66; next_open_entry; avg_value_10=28.0088M; adr20=3.7341; close=166.7000; ma50=144.1395
rsi2,ACHR,2025-06-04,9.76,9.66,0.1,2025-06-04,9.66,same_day_stop_loss,1028,10033.28,-102.8,-0.010246,-1.0,-4.099983,0.899998,0,93.0,setup_rsi2=3.43; next_open_entry; avg_value_10=285.4702M; adr20=7.3192; close=9.6400; ma50=8.8040
rsi2,ACHR,2025-06-05,9.65,9.35,0.299999,2025-06-05,9.35,same_day_stop_loss,1038,10016.7,-311.4,-0.031088,-1.0,-1.350003,0.400004,0,92.0,setup_rsi2=2.41; next_open_entry; avg_value_10=280.2396M; adr20=7.4206; close=9.3600; ma50=8.8154
rsi2,HTZ,2025-06-06,5.97,5.95,0.02,2025-06-06,5.95,same_day_stop_loss,1685,10059.45,-33.7,-0.00335,-1.0,-5.499988,8.500012,0,91.0,setup_rsi2=1.67; next_open_entry; avg_value_10=48.2491M; adr20=8.5085; close=6.0600; ma50=6.0433
rsi2,RGTI,2025-06-06,11.22,10.71,0.51,2025-06-09,11.752,pivot_low_break,895,10041.9,476.14,0.047415,1.043136,-0.470589,1.196077,3,97.0,setup_rsi2=2.17; next_open_entry; avg_value_10=667.7428M; adr20=10.6839; close=11.2800; ma50=10.1291
