strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,SBSW,2025-08-01,8.1728,8.0659,0.1069,2025-08-01,8.0659,same_day_stop_loss_red_candle,12235,99994.37,-1307.89,-0.01308,-1.0,-2.4545,0.2727,0,95.0,setup_rsi2=0.81; next_open_entry; avg_value_10=89.4532M; adr20=3.5830; close_gt_ma50=True
rsi2,FFAI,2025-08-01,2.215,2.072,0.143,2025-08-01,2.072,same_day_stop_loss_red_candle,45120,99940.8,-6452.15,-0.06456,-1.0,-1.5035,0.0,0,90.0,setup_rsi2=4.45; next_open_entry; avg_value_10=97.1411M; adr20=17.4388; close_gt_ma50=True
rsi2,CAR,2025-08-04,165.25,159.65,5.6,2025-08-04,159.65,same_day_stop_loss_red_candle,651,107577.75,-3645.6,-0.033888,-1.0,-1.2071,0.0714,0,92.0,setup_rsi2=0.65; next_open_entry; avg_value_10=283.4071M; adr20=4.8845; close_gt_ma50=True
rsi2,BTCS,2025-08-04,4.0052,3.9459,0.0593,2025-08-05,3.9459,stop_loss,25336,101475.73,-1503.35,-0.014815,-1.0,-2.3333,3.8333,1,97.0,setup_rsi2=0.85; next_open_entry; avg_value_10=33.2792M; adr20=21.3571; close_gt_ma50=True
rsi2,SBSW,2025-08-04,8.2603,7.9104,0.3498,2025-08-05,8.2603,prev_day_low_break,12412,102526.53,-0.0,-0.0,-0.0,-0.0556,1.3056,1,96.0,setup_rsi2=0.62; next_open_entry; avg_value_10=88.5017M; adr20=3.5583; close_gt_ma50=True
rsi2,AVAV,2025-08-04,265.72,251.34,14.38,2025-08-05,261.91,prev_day_low_break,404,107350.88,-1539.24,-0.014338,-0.265,-0.3693,0.7497,1,92.0,setup_rsi2=1.66; next_open_entry; avg_value_10=241.2960M; adr20=4.1410; close_gt_ma50=True
rsi2,CRSP,2025-08-04,56.3,53.7,2.6,2025-08-05,53.7,stop_loss,1905,107251.5,-4953.0,-0.046181,-1.0,-1.4615,1.3812,1,91.0,setup_rsi2=1.54; next_open_entry; avg_value_10=201.6620M; adr20=6.5902; close_gt_ma50=True
rsi2,QS,2025-08-04,8.37,8.1,0.27,2025-08-06,8.43,prev_day_low_break,12581,105302.97,754.87,0.007169,0.2222,-0.9444,2.7407,2,95.0,setup_rsi2=0.85; next_open_entry; avg_value_10=658.3378M; adr20=12.6479; close_gt_ma50=True
rsi2,AEHR,2025-08-04,17.58,15.94,1.64,2025-08-06,18.01,prev_day_low_break,5985,105216.3,2573.55,0.02446,0.2622,-0.0793,1.1768,2,95.0,setup_rsi2=4.10; next_open_entry; avg_value_10=40.2121M; adr20=9.3023; close_gt_ma50=True
rsi2,FFAI,2025-08-04,2.12,2.0,0.12,2025-08-06,2.27,prev_day_low_break,50041,106086.91,7506.15,0.070755,1.25,-0.25,3.1667,2,93.0,setup_rsi2=2.67; next_open_entry; avg_value_10=100.3354M; adr20=17.9616; close_gt_ma50=True
rsi2,SMXT,2025-08-05,1.6,0.87,0.73,2025-08-06,1.45,prev_day_low_break,67618,108188.8,-10142.7,-0.09375,-0.2055,-0.5137,1.2329,1,92.0,setup_rsi2=0.08; next_open_entry; avg_value_10=53.8021M; adr20=7.5748; close_gt_ma50=True
