date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,999296.840801487,999223.76,1,9993.689616680145,0.010000721716146624
2025-08-04,1008899.2356347749,1000234.14,14,140280.01099698094,0.1390426377999188
2025-08-05,1010845.7115776578,1007974.91,7,70136.51881399722,0.06938399996230186
2025-08-06,1009040.1910373116,1009224.64,5,50121.21960902214,0.049672173669808556
2025-08-07,1007858.4184079837,1011018.32,4,40097.01052451134,0.03978436831221661
2025-08-08,1006657.3189784526,1010248.3999999999,2,20169.37047934532,0.020035984539220387
2025-08-11,1005580.2099097347,1009429.3099999999,1,10096.000150442123,0.010039974982551004
2025-08-12,1005354.2094009494,1009429.3099999999,2,20138.06027007103,0.02003081111290169
2025-08-13,1005152.3397953986,1009197.0499999999,1,10096.000150442123,0.0100442487678009
2025-08-14,1004906.2499548673,1009197.0499999999,1,10096.000150442123,0.010046708487379354
2025-08-15,1005537.2499999999,1005537.2499999999,0,0.0,0.0
2025-08-18,1006010.9599230955,1005377.5699999998,2,20098.139865875244,0.01997805259240083
2025-08-19,1005480.1099734495,1005234.7699999998,1,10045.019920349121,0.009990272130409789
2025-08-20,1006000.2576267469,1005072.2699999998,3,30146.845220848067,0.02996703528880542
2025-08-21,1004776.9253490255,1005092.9099999998,8,79645.10913599018,0.07926645917781618
2025-08-22,1008153.8742438887,1006174.0399999998,9,90162.21543491367,0.089432990080542
2025-08-25,1008145.0338043305,1008123.7899999997,5,50029.22957313542,0.04962503200987401
2025-08-26,1009110.2346327779,1009078.2999999997,3,29861.16511297226,0.02959157888616494
2025-08-27,1009365.3053876301,1009249.6399999997,2,20113.505017757416,0.01992688366679411
2025-08-28,1009271.365797176,1009249.6399999997,2,20113.505017757416,0.019928738394228297
2025-08-29,1008491.7501692577,1008669.2299999996,1,10071.989915370941,0.009987181267155169
2025-09-02,1008136.7899999997,1008136.7899999997,0,0.0,0.0
2025-09-03,1008106.1596048352,1008023.0499999997,2,20155.63067340851,0.019993559687512732
2025-09-04,1010088.1993730161,1009430.7599999998,1,10096.400447845459,0.009995563213304063
2025-09-05,1008814.1004833219,1008687.3999999998,1,10085.320048332214,0.00999720369045233
2025-09-08,1008912.9198703001,1009080.1699999998,3,30254.300369262695,0.029987028388091225
2025-09-09,1009754.6199999999,1009674.1199999999,1,10086.650245666504,0.00998920930479774
2025-09-10,1009882.0295649718,1009429.1199999999,2,20115.370277404785,0.019918534728328524
2025-09-11,1010633.0788003538,1010398.1599999998,2,20188.39067173004,0.01997598445490638
2025-09-12,1010057.9759435665,1010044.7399999998,1,10088.866992224206,0.009988403866421115
2025-09-15,1010064.0798812864,1009745.0999999997,1,10094.550296783447,0.00999397018253522
2025-09-16,1010256.3342311402,1009425.3699999998,3,30261.696117513377,0.02995447303039596
2025-09-17,1010028.6994624422,1009465.0299999998,2,20189.520049095154,0.019989055815780706
2025-09-18,1009664.3795491311,1009191.6099999998,1,10095.030318260193,0.009998401966768562
2025-09-19,1009969.2973469363,1009191.6099999998,2,20185.206860064136,0.019985960873353442
2025-09-22,1010579.2499999997,1010579.2499999997,0,0.0,0.0
