strategy,ticker,entry_date,entry_price,initial_stop,risk_per_share,exit_date,exit_price,exit_reason,shares,position_size,pnl,pnl_pct,r_multiple,mae,mfe,holding_days,rs_rank_at_entry,signal_details
rsi2,MRX,2025-05-21,43.9239,43.2941,0.6297,2025-05-21,43.2941,same_day_stop_loss,227,9970.72,-142.95,-0.014337,-1.0,-2.0781,0.6406,0,93.0,setup_rsi2=3.72; next_open_entry; avg_value_10=50.1698M; adr20=4.3091; close_gt_ma50=True
rsi2,MRX,2025-05-22,42.6742,42.6152,0.059,2025-05-22,42.6152,same_day_stop_loss,234,9985.77,-13.81,-0.001383,-1.0,-9.5009,10.501,0,93.0,setup_rsi2=0.96; next_open_entry; avg_value_10=45.9481M; adr20=4.2394; close_gt_ma50=True
rsi2,NVTS,2025-05-22,4.905,1.88,3.025,2025-05-23,4.51,atr_trail_0.5x,2038,9996.39,-805.01,-0.08053,-0.1306,-0.2893,0.114,1,98.0,setup_rsi2=3.13; next_open_entry; avg_value_10=156.2000M; adr20=7.0982; close_gt_ma50=True
rsi2,KRMN,2025-05-27,42.42,41.29,1.13,2025-05-28,44.3348,atr_trail_0.5x,235,9968.7,449.98,0.04514,1.6945,-0.2655,2.9292,1,97.0,setup_rsi2=3.73; next_open_entry; avg_value_10=41.3623M; adr20=5.4854; close_gt_ma50=True
rsi2,TPR,2025-05-27,77.5472,75.2012,2.346,2025-05-29,78.9663,atr_trail_0.5x,128,9926.04,181.65,0.0183,0.6049,-0.3151,1.1765,2,90.0,setup_rsi2=1.04; next_open_entry; avg_value_10=279.1180M; adr20=2.8822; close_gt_ma50=True
rsi2,FRHC,2025-05-28,161.5,155.181,6.319,2025-05-29,166.9956,atr_trail_0.5x,61,9851.5,335.23,0.034028,0.8697,-0.0063,1.8039,1,91.0,setup_rsi2=2.66; next_open_entry; avg_value_10=28.0088M; adr20=3.7341; close_gt_ma50=True
rsi2,NXT,2025-05-30,55.42,55.33,0.09,2025-05-30,55.33,same_day_stop_loss,180,9975.6,-16.2,-0.001624,-1.0,-4.6668,27.0011,0,93.0,setup_rsi2=4.85; next_open_entry; avg_value_10=173.4458M; adr20=5.0972; close_gt_ma50=True
rsi2,LRN,2025-05-30,149.0,148.76,0.24,2025-05-30,148.76,same_day_stop_loss,67,9983.0,-16.08,-0.001611,-1.0,-5.4166,12.1664,0,90.0,setup_rsi2=3.11; next_open_entry; avg_value_10=101.2696M; adr20=3.0951; close_gt_ma50=True
rsi2,PRCH,2025-06-02,9.12,9.08,0.04,2025-06-02,9.08,same_day_stop_loss,1096,9995.52,-43.84,-0.004386,-1.0,-6.75,6.75,0,98.0,setup_rsi2=4.87; next_open_entry; avg_value_10=32.6444M; adr20=11.0863; close_gt_ma50=True
rsi2,ACHR,2025-06-03,10.2,9.68,0.52,2025-06-03,9.68,same_day_stop_loss,980,9996.0,-509.6,-0.05098,-1.0,-1.0385,0.4615,0,93.0,setup_rsi2=3.52; next_open_entry; avg_value_10=300.2588M; adr20=7.2583; close_gt_ma50=True
rsi2,ACHR,2025-06-04,9.76,9.66,0.1,2025-06-04,9.66,same_day_stop_loss,1024,9994.24,-102.4,-0.010246,-1.0,-4.1,0.9,0,93.0,setup_rsi2=3.43; next_open_entry; avg_value_10=285.4702M; adr20=7.3192; close_gt_ma50=True
rsi2,HSAI,2025-06-02,18.685,18.35,0.335,2025-06-05,19.4159,atr_trail_0.5x,535,9996.47,391.03,0.039117,2.1818,-0.5522,7.1791,3,95.0,setup_rsi2=2.76; next_open_entry; avg_value_10=106.5273M; adr20=8.3190; close_gt_ma50=True
rsi2,ACHR,2025-06-05,9.65,9.35,0.3,2025-06-05,9.35,same_day_stop_loss,1036,9997.4,-310.8,-0.031088,-1.0,-1.35,0.4,0,92.0,setup_rsi2=2.41; next_open_entry; avg_value_10=280.2396M; adr20=7.4206; close_gt_ma50=True
rsi2,HTZ,2025-06-06,5.97,5.95,0.02,2025-06-06,5.95,same_day_stop_loss,1679,10023.63,-33.58,-0.00335,-1.0,-5.5,8.5,0,91.0,setup_rsi2=1.67; next_open_entry; avg_value_10=48.2491M; adr20=8.5085; close_gt_ma50=True
rsi2,DXYZ,2025-06-06,39.12,34.58,4.54,2025-06-09,38.5541,atr_trail_0.5x,256,10014.72,-144.87,-0.014466,-0.1246,-0.2467,0.9846,1,91.0,setup_rsi2=2.99; next_open_entry; avg_value_10=33.1821M; adr20=7.9581; close_gt_ma50=True
rsi2,OKLO,2025-06-06,47.1,46.01,1.09,2025-06-10,51.8895,atr_trail_0.5x,212,9985.2,1015.37,0.101687,4.394,-0.6422,8.6239,2,98.0,setup_rsi2=3.24; next_open_entry; avg_value_10=1581.8740M; adr20=11.7638; close_gt_ma50=True
rsi2,RGTI,2025-06-06,11.22,10.71,0.51,2025-06-10,11.1818,atr_trail_0.5x,892,10008.24,-34.09,-0.003406,-0.0749,-0.4706,1.7647,2,97.0,setup_rsi2=2.17; next_open_entry; avg_value_10=667.7428M; adr20=10.6839; close_gt_ma50=True
rsi2,IONQ,2025-06-06,37.67,35.927,1.743,2025-06-10,40.2578,atr_trail_0.5x,265,9982.55,685.77,0.068697,1.4847,-0.4991,3.6604,2,96.0,setup_rsi2=1.96; next_open_entry; avg_value_10=1034.0157M; adr20=10.1332; close_gt_ma50=True
rsi2,ACHR,2025-06-06,9.66,9.245,0.415,2025-06-10,11.27,atr_trail_0.5x,1037,10017.42,1669.57,0.166667,3.8795,-0.3349,4.8434,2,93.0,setup_rsi2=0.79; next_open_entry; avg_value_10=288.9107M; adr20=7.5564; close_gt_ma50=True
rsi2,ODD,2025-06-10,69.83,69.43,0.4,2025-06-10,69.43,same_day_stop_loss,143,9985.69,-57.2,-0.005728,-1.0,-1.775,4.11,0,93.0,setup_rsi2=3.47; next_open_entry; avg_value_10=100.1044M; adr20=4.3226; close_gt_ma50=True
rsi2,MVST,2025-06-05,3.39,3.33,0.06,2025-06-11,4.123,atr_trail_0.5x,2948,9993.72,2160.99,0.216235,12.2172,-0.1667,15.1666,4,99.0,setup_rsi2=3.24; next_open_entry; avg_value_10=28.4300M; adr20=12.0768; close_gt_ma50=True
rsi2,DUOL,2025-06-11,486.94,475.41,11.53,2025-06-11,475.41,same_day_stop_loss,20,9738.8,-230.6,-0.023678,-1.0,-1.3027,0.0833,0,91.0,setup_rsi2=4.41; next_open_entry; avg_value_10=432.8184M; adr20=3.4821; close_gt_ma50=True
rsi2,NRG,2025-06-11,148.8079,146.0198,2.7881,2025-06-12,146.5537,atr_trail_0.5x,67,9970.13,-151.03,-0.015149,-0.8085,-0.8085,0.5709,1,92.0,setup_rsi2=1.81; next_open_entry; avg_value_10=510.3340M; adr20=2.8229; close_gt_ma50=True
rsi2,DUOL,2025-06-12,475.36,471.92,3.44,2025-06-12,471.92,same_day_stop_loss,21,9982.56,-72.24,-0.007237,-1.0,-1.5145,2.096,0,91.0,setup_rsi2=2.16; next_open_entry; avg_value_10=432.4195M; adr20=3.4981; close_gt_ma50=True
rsi2,RBRK,2025-06-11,87.55,86.54,1.01,2025-06-13,87.38,atr_trail_0.5x,114,9980.7,-19.38,-0.001942,-0.1683,-0.8911,4.7327,2,94.0,setup_rsi2=1.33; next_open_entry; avg_value_10=466.7917M; adr20=4.1272; close_gt_ma50=True
rsi2,GEV,2025-06-11,468.4917,457.6415,10.8502,2025-06-13,476.6338,atr_trail_0.5x,21,9838.33,170.99,0.01738,0.7504,-0.5076,1.8567,2,94.0,setup_rsi2=3.53; next_open_entry; avg_value_10=1506.5449M; adr20=3.2190; close_gt_ma50=True
rsi2,TNXP,2025-06-13,33.5,29.0,4.5,2025-06-16,32.0,atr_trail_0.5x,299,10016.5,-448.5,-0.044776,-0.3333,-0.4778,0.7711,1,96.0,setup_rsi2=4.19; next_open_entry; avg_value_10=29.0933M; adr20=13.9946; close_gt_ma50=True
rsi2,TNXP,2025-06-16,32.0,31.5,0.5,2025-06-16,31.5,same_day_stop_loss,313,10016.0,-156.5,-0.015625,-1.0,-1.3,9.94,0,97.0,setup_rsi2=1.83; next_open_entry; avg_value_10=29.4758M; adr20=13.8510; close_gt_ma50=True
rsi2,AS,2025-06-16,36.75,36.02,0.73,2025-06-17,36.02,stop_loss,273,10032.75,-199.29,-0.019864,-1.0,-1.1233,1.0685,1,94.0,setup_rsi2=2.92; next_open_entry; avg_value_10=154.5060M; adr20=3.3713; close_gt_ma50=True
rsi2,APP,2025-06-16,367.79,360.749,7.041,2025-06-17,360.749,stop_loss,27,9930.33,-190.11,-0.019144,-1.0,-1.2896,1.3095,1,92.0,setup_rsi2=1.45; next_open_entry; avg_value_10=2029.1444M; adr20=5.0174; close_gt_ma50=True
rsi2,URBN,2025-06-16,68.59,67.41,1.18,2025-06-17,69.8904,atr_trail_0.5x,146,10014.14,189.85,0.018958,1.102,-0.2288,2.3475,1,92.0,setup_rsi2=1.20; next_open_entry; avg_value_10=119.9752M; adr20=3.6692; close_gt_ma50=True
rsi2,INOD,2025-06-16,40.99,39.15,1.84,2025-06-17,44.2939,atr_trail_0.5x,245,10042.55,809.46,0.080603,1.7956,-0.1033,3.3696,1,91.0,setup_rsi2=4.49; next_open_entry; avg_value_10=125.8722M; adr20=9.2736; close_gt_ma50=True
rsi2,PL,2025-06-18,5.1,5.02,0.08,2025-06-20,5.02,stop_loss,1971,10052.1,-157.68,-0.015686,-1.0,-1.75,1.5,2,94.0,setup_rsi2=3.83; next_open_entry; avg_value_10=99.7524M; adr20=7.7253; close_gt_ma50=True
rsi2,ASPI,2025-06-18,7.72,7.545,0.175,2025-06-20,7.545,stop_loss,1302,10051.44,-227.85,-0.022668,-1.0,-1.4857,2.2857,2,94.0,setup_rsi2=4.32; next_open_entry; avg_value_10=35.5274M; adr20=10.1122; close_gt_ma50=True
rsi2,SRRK,2025-06-18,33.5,30.965,2.535,2025-06-20,35.9684,atr_trail_0.5x,300,10050.0,740.53,0.073684,0.9737,-0.1834,1.3807,2,91.0,setup_rsi2=4.28; next_open_entry; avg_value_10=51.8122M; adr20=5.7957; close_gt_ma50=True
rsi2,AAP,2025-06-18,47.4049,46.8754,0.5296,2025-06-20,47.6648,atr_trail_0.5x,212,10049.85,55.09,0.005482,0.4907,-0.2037,2.2037,2,90.0,setup_rsi2=4.05; next_open_entry; avg_value_10=94.9320M; adr20=5.3424; close_gt_ma50=True
rsi2,CVNA,2025-06-17,57.7,56.734,0.966,2025-06-23,62.8541,atr_trail_0.5x,174,10039.8,896.81,0.089326,5.3355,0.0,7.2215,4,90.0,setup_rsi2=1.16; next_open_entry; avg_value_10=1227.4384M; adr20=3.9152; close_gt_ma50=True
rsi2,HSAI,2025-06-18,17.83,17.695,0.135,2025-06-23,17.695,stop_loss,563,10038.29,-76.01,-0.007572,-1.0,-2.0741,5.2593,3,94.0,setup_rsi2=4.98; next_open_entry; avg_value_10=50.1100M; adr20=7.7084; close_gt_ma50=True
rsi2,PL,2025-06-23,4.97,4.96,0.01,2025-06-23,4.96,same_day_stop_loss,2033,10104.01,-20.33,-0.002012,-1.0,-7.0001,39.501,0,95.0,setup_rsi2=4.91; next_open_entry; avg_value_10=57.2030M; adr20=7.7550; close_gt_ma50=True
rsi2,TMDX,2025-06-23,123.0,121.3,1.7,2025-06-23,121.3,same_day_stop_loss,82,10086.0,-139.4,-0.013821,-1.0,-1.5529,3.0588,0,91.0,setup_rsi2=0.78; next_open_entry; avg_value_10=128.8500M; adr20=4.1670; close_gt_ma50=True
rsi2,IBO,2025-06-23,1.08,0.362,0.718,2025-06-24,1.13,atr_trail_0.5x,9311,10055.88,465.55,0.046296,0.0696,-0.3343,1.2117,1,98.0,setup_rsi2=1.84; next_open_entry; avg_value_10=68.9159M; adr20=13.2542; close_gt_ma50=True
rsi2,AGX,2025-06-23,201.8327,192.7055,9.1272,2025-06-25,207.9598,atr_trail_0.5x,50,10091.63,306.35,0.030357,0.6713,-0.3268,1.6111,2,94.0,setup_rsi2=3.80; next_open_entry; avg_value_10=122.5806M; adr20=5.6380; close_gt_ma50=True
rsi2,OKLO,2025-06-24,57.83,52.12,5.71,2025-06-25,58.0043,atr_trail_0.5x,174,10062.42,30.33,0.003014,0.0305,-0.4345,1.2172,1,98.0,setup_rsi2=4.25; next_open_entry; avg_value_10=1644.9282M; adr20=11.9471; close_gt_ma50=True
rsi2,APLD,2025-06-24,10.15,9.41,0.74,2025-06-25,9.8652,atr_trail_0.5x,992,10068.8,-282.51,-0.028058,-0.3848,-0.6081,0.8108,1,95.0,setup_rsi2=3.82; next_open_entry; avg_value_10=517.0175M; adr20=11.2722; close_gt_ma50=True
rsi2,ASPI,2025-06-24,7.38,7.11,0.27,2025-06-25,7.11,stop_loss,1364,10066.32,-368.28,-0.036585,-1.0,-2.0185,1.6296,1,93.0,setup_rsi2=2.76; next_open_entry; avg_value_10=27.8216M; adr20=9.2587; close_gt_ma50=True
rsi2,HERE,2025-06-26,9.14,8.7,0.44,2025-06-26,8.7,same_day_stop_loss,1100,10054.0,-484.0,-0.04814,-1.0,-1.6136,0.3636,0,98.0,setup_rsi2=4.60; next_open_entry; avg_value_10=28.9538M; adr20=17.3295; close_gt_ma50=True
rsi2,QBTS,2025-06-26,14.17,14.16,0.01,2025-06-26,14.16,same_day_stop_loss,709,10046.53,-7.09,-0.000706,-1.0,-21.9995,24.4994,0,98.0,setup_rsi2=3.71; next_open_entry; avg_value_10=686.9319M; adr20=8.2144; close_gt_ma50=True
rsi2,ASTI,2025-06-26,2.87,1.1,1.77,2025-06-27,2.85,atr_trail_0.5x,3502,10050.74,-70.04,-0.006969,-0.0113,-0.4802,0.5593,1,93.0,setup_rsi2=4.59; next_open_entry; avg_value_10=32.1347M; adr20=12.3182; close_gt_ma50=True
rsi2,QBTS,2025-06-27,14.1,13.95,0.15,2025-06-27,13.95,same_day_stop_loss,712,10039.2,-106.8,-0.010638,-1.0,-3.5333,2.0,0,98.0,setup_rsi2=3.02; next_open_entry; avg_value_10=695.5820M; adr20=7.9588; close_gt_ma50=True
