date,equity,cash_realized,open_positions,exposure,exposure_pct
2025-08-01,999296.840801487,999223.76,1,9993.689616680145,0.010000721716146624
2025-08-04,1007942.5061546228,998887.76,14,140147.48047892598,0.13904312956658538
2025-08-05,1009366.0156392159,998276.62,13,130253.36901708935,0.12904473402009864
2025-08-06,1006017.1172014393,997104.83,11,110341.72882171963,0.10968176081205327
2025-08-07,1006801.1835254731,999964.37,9,90432.06856914853,0.08982117825138661
2025-08-08,1005346.8733957995,1002455.2799999999,5,50259.23880973429,0.04999193824512697
2025-08-11,1004450.1407698059,1001984.84,2,20103.399319648743,0.020014332721623784
2025-08-12,1005054.4403274917,1001984.84,3,30145.45943927765,0.029993857277477335
2025-08-13,1006160.6001315593,1001839.7999999999,2,20103.399319648743,0.01998030862768841
2025-08-14,1006599.8905430221,1002424.2899999999,1,10059.399456977844,0.009993443821607394
2025-08-15,1005449.9099999999,1005449.9099999999,0,0.0,0.0
2025-08-18,1005923.6199230956,1005290.2299999999,2,20098.139865875244,0.019979787200356005
2025-08-19,1005392.7699734495,1005147.4299999998,1,10045.019920349121,0.009991140000553605
2025-08-20,1005912.9176267469,1004984.9299999998,3,30146.845220848067,0.02996963722463531
2025-08-21,1004632.565893563,1004372.9899999999,8,79648.86733229745,0.07928159014181901
2025-08-22,1007105.5854100225,1004395.0299999998,9,90062.00483739856,0.08942657665902196
2025-08-25,1006234.1140572928,1004103.6199999999,7,70077.01924646381,0.06964285772811095
2025-08-26,1007220.6854960822,1004103.6199999999,7,70077.01924646381,0.06957464263350496
2025-08-27,1007377.3640444754,1005505.1799999998,5,50013.8293260384,0.04964756119319583
2025-08-28,1008162.8987682913,1005163.7399999999,4,39972.31422365193,0.039648666175364645
2025-08-29,1006751.9299999999,1006751.9299999999,0,0.0,0.0
2025-09-02,1006751.9299999999,1006751.9299999999,0,0.0,0.0
2025-09-03,1006722.4696053504,1006639.3999999999,2,20132.18067264557,0.01999774643009376
2025-09-04,1008045.3691891859,1006219.1699999998,2,20132.18067264557,0.019971502561277322
2025-09-05,1007231.9307084272,1005547.5199999998,3,30201.58072090149,0.02998473320803034
2025-09-08,1006587.9703994367,1006361.0599999997,4,40133.500416755676,0.03987083255210153
2025-09-09,1007529.5100188825,1005976.0599999997,3,30148.500569343567,0.029923193583459944
2025-09-10,1008802.6589585874,1006077.1599999998,3,30107.820552825928,0.029845104278280743
2025-09-11,1009698.2186531065,1006062.3999999998,4,40201.42097854614,0.03981528365195404
2025-09-12,1009702.5351215756,1005570.8799999998,4,40196.68754505013,0.03981042549349463
2025-09-15,1010577.7700277708,1005739.3899999998,3,30173.650817871094,0.02985782164695936
2025-09-16,1010352.201026422,1008987.9499999998,4,40319.03761693797,0.03990592347497996
2025-09-17,1010257.5371595778,1008867.3599999999,4,40318.97705098948,0.0399096028170694
