strategy_combo,rs_bucket,entry,exit,initial_stop_loss,trade_count,win_rate,profit_factor,avg_win_pct,avg_loss_pct,avg_win_loss_pct_ratio,final_equity,total_return,max_drawdown,avg_exposure_pct,max_exposure_pct,avg_holding_days
rs90_100_rsi2_next_open_1_day_low_no_stop,90_100,rsi2_next_open,1_day_low,no_stop,2102,0.3653663177925785,0.9699,0.06268,-0.036618,1.7117,935597.68,-0.064402,-0.210342,0.226878,1.857812,2.25
rs90_100_rsi2_next_open_2_day_low_no_stop,90_100,rsi2_next_open,2_day_low,no_stop,2066,0.32575024201355274,0.9574,0.080592,-0.039923,2.0187,896237.35,-0.103763,-0.25331,0.319668,1.85755,3.25
rs90_100_rsi2_next_open_3_day_low_no_stop,90_100,rsi2_next_open,3_day_low,no_stop,2060,0.2975728155339806,0.9542,0.094016,-0.040837,2.3022,884798.95,-0.115201,-0.281375,0.388547,1.857794,3.97
rs90_100_rsi2_next_open_4_day_low_no_stop,90_100,rsi2_next_open,4_day_low,no_stop,2060,0.2733009708737864,0.964,0.108557,-0.041229,2.633,905958.94,-0.094041,-0.324931,0.451335,1.905559,4.64
rs90_100_rsi2_next_open_5_day_low_no_stop,90_100,rsi2_next_open,5_day_low,no_stop,2058,0.2565597667638484,1.0042,0.124232,-0.04126,3.0109,1012156.22,0.012156,-0.354178,0.52035,1.905554,5.38
rs90_100_rsi2_next_open_hold_1d_open_no_stop,90_100,rsi2_next_open,hold_1d_open,no_stop,2499,0.5270108043217286,1.1622,0.034234,-0.033274,1.0289,1313565.2,0.313565,-0.141807,0.124844,1.807166,1.03
rs90_100_rsi2_next_open_hold_2d_open_no_stop,90_100,rsi2_next_open,hold_2d_open,no_stop,1880,0.5313829787234042,1.2269,0.04823,-0.045212,1.0668,1478950.3,0.47895,-0.168124,0.183369,1.941776,2.01
rs90_100_rsi2_next_open_hold_3d_open_no_stop,90_100,rsi2_next_open,hold_3d_open,no_stop,1694,0.5436835891381346,1.1993,0.055911,-0.055968,0.999,1438032.07,0.438032,-0.250495,0.246386,2.040418,2.99
rs90_100_rsi2_next_open_hold_4d_open_no_stop,90_100,rsi2_next_open,hold_4d_open,no_stop,1627,0.5304240934234788,1.3068,0.070286,-0.062264,1.1288,1791695.78,0.791696,-0.259812,0.313922,2.211716,4.0
rs90_100_rsi2_next_open_hold_5d_open_no_stop,90_100,rsi2_next_open,hold_5d_open,no_stop,1592,0.5301507537688442,1.3103,0.075382,-0.066854,1.1276,1828251.15,0.828251,-0.291162,0.381084,2.673164,4.97
rs90_100_rsi2_next_open_hold_0d_close_no_stop,90_100,rsi2_next_open,hold_0d_close,no_stop,2499,0.5002000800320128,0.9956,0.028049,-0.028098,0.9983,993050.39,-0.00695,-0.147373,0.0,0.0,0.0
rs90_100_rsi2_next_open_hold_1d_close_no_stop,90_100,rsi2_next_open,hold_1d_close,no_stop,2499,0.5070028011204482,1.0944,0.044426,-0.041897,1.0604,1228062.69,0.228063,-0.2134,0.124837,1.80724,1.03
rs90_100_rsi2_next_open_hold_2d_close_no_stop,90_100,rsi2_next_open,hold_2d_close,no_stop,1880,0.5276595744680851,1.177,0.05535,-0.052722,1.0499,1426615.89,0.426616,-0.218859,0.183406,1.935473,2.01
rs90_100_rsi2_next_open_hold_3d_close_no_stop,90_100,rsi2_next_open,hold_3d_close,no_stop,1694,0.5271546635182999,1.2678,0.066978,-0.059899,1.1182,1687243.44,0.687243,-0.269515,0.246304,2.041367,2.99
rs90_100_rsi2_next_open_hold_4d_close_no_stop,90_100,rsi2_next_open,hold_4d_close,no_stop,1627,0.5261216963736939,1.3075,0.073616,-0.064158,1.1474,1829486.13,0.829486,-0.256549,0.313933,2.214338,4.0
rs90_100_rsi2_next_open_hold_5d_close_no_stop,90_100,rsi2_next_open,hold_5d_close,no_stop,1592,0.5238693467336684,1.235,0.080264,-0.072427,1.1082,1677933.43,0.677933,-0.301327,0.381094,2.676644,4.97
rs90_100_rsi2_next_open_rsi2_gt_50_no_stop,90_100,rsi2_next_open,rsi2_gt_50,no_stop,1815,0.6556473829201102,1.4504,0.050486,-0.069219,0.7294,2180665.45,1.180665,-0.294191,0.268683,2.672555,3.02
rs90_100_rsi2_next_open_rsi2_gt_60_no_stop,90_100,rsi2_next_open,rsi2_gt_60,no_stop,1726,0.671494785631518,1.3768,0.053314,-0.080999,0.6582,2047930.86,1.047931,-0.321198,0.32053,2.807718,3.78
rs90_100_rsi2_next_open_rsi2_gt_70_no_stop,90_100,rsi2_next_open,rsi2_gt_70,no_stop,1648,0.6717233009708737,1.3805,0.058925,-0.088764,0.6638,2165143.45,1.165143,-0.32796,0.401566,2.878054,4.96
rs90_100_rsi2_next_open_rsi2_gt_80_no_stop,90_100,rsi2_next_open,rsi2_gt_80,no_stop,1579,0.6554781507283091,1.3553,0.070221,-0.098793,0.7108,2257966.79,1.257967,-0.377173,0.587021,3.269072,7.56
